"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glyoxylate and dicarboxylate metabolism","31","15","15","22.521","0.00040494","0.0039884","0.026652","97","0.97","0.02794086","0.2712112","1","P1","EC000193;EC000194;EC000382;EC000383;EC000384;EC000643;EC000644;EC00027;EC000173;EC000174;EC000603;EC000604;EC000605;EC000606;EC00060;EC00061;EC00062;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
"Amino sugar and nucleotide sugar metabolism","39","38","38","45.819","0.00062275","0.0022548","0.026666","0","0","0.042347","0.1555812","1","P2","EC000155;EC000156;EC000157;EC000348;EC000349;EC00033;EC0001116;EC0001117;EC0001118;EC000272;EC000274;EC000275;EC00085;EC00086;EC00087;EC00088;EC00089;EC00022;EC000192;EC000338;EC000339;EC000340;EC00098;EC00099;EC00023;EC00024;EC00025;EC000306;EC000817;EC000818;EC000819;EC000612;EC000613;EC000614;EC000840;EC000727;EC000728;EC000729;EC000314;EC000315;EC000316;EC000317;EC000280;EC0001385;EC000281;EC000146;EC000147;EC000210;EC000211;EC000869;EC000870;EC000871;EC000148;EC0001398;EC0001400"
"Primary bile acid biosynthesis","46","32","32","34.946","0.0028408","0.010027","0.026809","0","0","0.1903336","0.671809","1","P3","EC000207;EC000863;EC000864;EC000725;EC000709;EC000710;EC000711;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000980;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000982;EC000694;EC000695;EC000696;EC0001343;EC0001345;EC000525;EC000526;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001347;EC0001348;EC000743;EC000744"
"Taurine and hypotaurine metabolism","8","6","6","12.425","0.013745","0.080855","0.027521","100","1","0.90717","1","1","P4","EC000446;EC000447;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Linoleic acid metabolism","4","4","4","10.872","0.023562","0.12422","0.028179","0","0","1","1","1","P5","EC000718;EC000719;EC000720;EC000721;EC000722;EC0001234;EC0001235;EC0001236;EC0001237;EC0001238;EC000912;EC000913;EC000914;EC000915"
"Arginine biosynthesis","14","12","12","21.744","0.024795","0.076327","0.028263","100","1","1","1","1","P6","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000488;EC000139;EC000140"
"Cysteine and methionine metabolism","33","30","29","56.691","0.026403","0.050829","0.028372","100","1","1","1","1","P7","EC000662;EC000663;EC0001258;EC000197;EC000647;EC00011;EC000774;EC000775;EC000776;EC000183;EC000184;EC00060;EC00061;EC00062;EC00063;EC00065;EC00066;EC00067;EC00017;EC0001260;EC000446;EC000447;EC000434;EC000435;EC000436;EC000437;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC0001209;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000324;EC000325;EC000113;EC000114;EC000115;EC000116;EC000118;EC000607;EC000608;EC000610;EC000831;EC000765;EC000766;EC0001005;EC000746;EC000747;EC0001004;EC00018;EC0001067;EC0001069;EC0001389;EC0001390;EC000213;EC000214;EC000215"
"Pyruvate metabolism","20","12","11","13.979","0.052714","0.16831","0.030235","100","1","1","1","1","P8","EC00027;EC00068;EC00069;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"Fructose and mannose metabolism","20","19","19","23.298","0.054447","0.13224","0.030362","89","0.89","1","1","1","P9","EC000549;EC000551;EC00023;EC00024;EC00025;EC000341;EC00085;EC00086;EC00087;EC00088;EC00089;EC000817;EC000818;EC000819;EC00098;EC00099;EC000120;EC000121;EC000122;EC000206;EC000612;EC000613;EC000614;EC000306;EC000888;EC000889;EC000890"
"Butanoate metabolism","15","9","9","18.638","0.055539","0.1493","0.030443","0","0","1","1","1","P10","EC000636;EC000637;EC000638;EC000113;EC000114;EC000115;EC000116;EC000118;EC000322;EC000323;EC000324;EC000325;EC00019;EC00020;EC000249;EC000250;EC00021;EC00030;EC00032;EC000771;EC000772;EC000773"
