mz,time,mz.1,Name,delta_ppm_vec,mode,ESI,F1,F2,F4,P1,P2,P3,P4,F6,F7,P6,P7,FVPTC2,P8,FVPTC3,FVPTC4,FVPTC5,P9,P10,F20,FVPTC6,P12,F12,F13,P13,F10,F18,P18,P20,P14,F19,FVPTC20,FVPTC7,P15,F14,FVPTC14,FVPTC15,F15,FVPTC16,F16,FVPTC17,F17,FVPTC18,FVPTC19,P16,FVPTC8,FVPTC9,FVPTC10,FVPTC11,F11,FVPTC12,FVPTC13,P17,F8,P11,F9,nist_1,nist_2,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6
117.019344,17.31557305,117.019324,Succinate,-0.170538765,C18,neg,771573,1001946,13818029,3951564,425166,523373,606702,386048,435712,1846929,14346436,6763860,1917086,495779,997357,81489243,702501,591825,1014220,564641,357178,145374417,6037775,1631404,2905312,2399648,747948,561748,967857,4037329,7029278,2736337,4774474,846517,5210618,4121653,1583586,602607,1427263,539888,532720,612163,684304,1993436,721433,1524118,622065,1395275,600771,832619,479677,640989,2836452,501557,651357,218639,172313,122083,120111,204091,146976,218391,175845
118.0490859,205.428773,118.051,Threonine,16.21382871,C18,neg,0,0,0,21364,6892,17788,0,0,19308,14060,6001,20840,17373,0,10501,0,38327,0,92690,0,5998,0,28656,0,8956,16318,0,26601,0,0,50878,2010,0,44833,30503,8412,7500,24441,0,8577,14963,6127,41829,8393,7806,19798,26591,47367,55751,40328,48060,6637,7294,13421,0,96596,33733,63177,3213,52897,31501,11604,26845
118.0506786,21.14606341,118.051,Threonine,2.722957518,C18,neg,4398350,13981709,11909287,4866271,3615206,5927631,4607196,5507560,3367499,1535576,8765313,3309486,1172729,4888479,6450251,7975515,3036903,7778747,3255344,12668211,8557927,11367307,8193659,9434353,2179420,6109557,8964361,2072438,16988917,4064066,4811245,3890160,4219467,8803125,2386757,1869545,2401289,624088,5541645,1044370,7861602,1105707,15348621,11266605,3156403,6738371,1673130,5154643,6380446,1751742,1851919,3380676,6114459,8015733,9087496,369350,360852,479302,436235,652372,646820,509656,491227
118.0531263,22.94681646,118.051,Threonine,-18.01199837,C18,neg,19148,0,55775,15224,0,9777,0,41732,0,105552,144418,16557,0,9025,7711,40930,15432,27398,0,44038,17572,26452,8636,0,8557,37892,20235,0,37703,0,33699,21614,10784,54162,0,0,0,0,7636,6572,26365,8984,75069,47268,16324,0,0,0,15992,3625,6630,21266,25342,34652,32747,0,0,0,0,0,0,0,0
120.0124547,21.89843681,120.012524,Cysteine,0.57706534,C18,neg,382320,1176770,3308885,712871,1235743,1954425,2367368,1698729,266851,273202,4654468,1761754,44168,2234365,3447655,3224965,879420,2945071,287567,2815336,2505607,3749976,986742,2067046,365680,2706082,1248772,380270,3747952,5391547,118217,2207712,810525,984557,877462,596334,302709,94348,2721473,172205,1171238,48723,2171780,3440749,442403,1099566,402683,764666,1440262,340287,312710,415360,3153064,1994310,1444068,0,0,0,0,0,0,0,0
121.0291865,224.4622588,121.0295,Benzoate,2.590031273,C18,neg,2195256,2421978,3104447,2339399,2889434,2685700,2239656,2865386,737492,2474362,2833620,2646337,2378926,1793616,2298449,1661508,2574914,2358332,2426095,3031694,2643893,3740397,2257836,2594458,3234884,3482787,7029578,196546,3696735,6466477,1961265,3114713,0,2558687,2675138,3504213,3261163,2914911,212059,2000155,4009536,2076906,417399,346532,1984780,2978769,3497449,2529098,327906,3586370,3529594,2908564,2191471,2522774,2629500,0,8798547,3408875,3506028,2309135,9706767,1712241,1576670
121.0293681,32.47731517,121.0295,Benzoate,1.089440384,C18,neg,3310782,4065561,1993329,3544650,3610651,394225,3480835,3612352,1716432,1718223,1673981,1604259,3069773,1414939,1531973,3761186,3231014,298173,1410476,1800974,4366135,663345,4940005,1999651,2176798,1505049,1355025,3779783,7017141,3940846,398314,2348664,3087598,5052377,1587570,1403698,1471745,1321452,534342,1297493,3884961,2746490,6240186,5124490,1530661,1672863,2732058,203890,136807,1577565,1436303,1679035,1469672,4576360,1705271,343853,3670518,1998092,1832737,1453781,2559322,2643955,3233310
121.0406112,216.9142266,121.040724,Niacinamide,0.93182511,C18,neg,169597,2896332,281557,3204466,300383,3093666,714597,3913601,2083523,3529114,1870312,3285709,1892053,3850467,3942758,2021499,2250717,4043206,1046710,4230162,192157,2416436,2450667,4221281,4542978,2645444,4489506,4671365,4338450,4518804,2535241,4642810,4307057,7786999,7671110,2591109,2658776,2609752,2102346,2686113,2057458,4850134,2016560,2492640,5682247,76162,2565160,4016748,2287067,4662127,2683205,2356707,3652615,197309,661041,1111490,3294699,2560289,2859574,466586,4031676,6278747,9063784
121.0406112,216.9142266,121.040724,nicotinamide,0.93182511,C18,neg,169597,2896332,281557,3204466,300383,3093666,714597,3913601,2083523,3529114,1870312,3285709,1892053,3850467,3942758,2021499,2250717,4043206,1046710,4230162,192157,2416436,2450667,4221281,4542978,2645444,4489506,4671365,4338450,4518804,2535241,4642810,4307057,7786999,7671110,2591109,2658776,2609752,2102346,2686113,2057458,4850134,2016560,2492640,5682247,76162,2565160,4016748,2287067,4662127,2683205,2356707,3652615,197309,661041,1111490,3294699,2560289,2859574,466586,4031676,6278747,9063784
121.0407362,23.92561817,121.040724,Niacinamide,-0.100678223,C18,neg,154651,221099,202248,44110,70789,78907,134512,70050,124068,38909,121953,20587,249888,262998,77886,178576,43680,62689,145130,272158,348077,119183,555351,83811,132371,148040,115377,276503,375947,176149,406189,233856,261945,383495,166662,243798,151268,232227,301196,235225,282806,194894,255385,309134,120453,204880,204480,105418,246715,196480,215687,215487,69240,88290,196232,184972,323586,145369,171637,83299,158316,170825,396063
