"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Inositol phosphate metabolism","21","19","19","17.22","0.42245","0.58996","0.078802","0","0","1","1","1","P37","EC000676;EC000677;EC000688;EC000690;EC000341;EC00086;EC00087;EC00088;EC00023;EC00024;EC000691;EC000692;EC000693;EC00018;EC000119;EC000121;EC000122;EC000212"
"Fatty acid degradation","35","13","8","10.332","0.44574","0.65775","0.083867","0","0","1","1","1","P38","EC000798;EC000182;EC000251;EC000252;EC000820;EC000821;EC000822;EC0007;EC000947;EC000945;EC000949"
"Pentose and glucuronate interconversions","18","18","17","18.597","0.48466","0.64267","0.093199","100","1","1","1","1","P39","EC00022;EC00086;EC00087;EC00088;EC000264;EC000265;EC000127;EC000128;EC000129;EC000137;EC000138;EC000361;EC000631;EC000632;EC000212;EC000771;EC000772;EC000773;EC000548"
"Sulfur metabolism","8","5","3","5.5103","0.50003","0.7664","0.097214","0","0","1","1","1","P40","EC000231;EC000232;EC000301;EC0001340;EC0001341;EC0001342"
"Terpenoid backbone biosynthesis","14","7","6","11.709","0.52347","0.71362","0.10374","79","0.79","1","1","1","P41","EC000385;EC000386;EC000388;EC000648;EC000649;EC000640;EC000328;EC000329;EC0001375;EC000844;EC000846;EC000847"
"Drug metabolism - cytochrome P450","43","30","28","35.128","0.52609","0.6396","0.1045","56","0.56","1","1","1","P42","EC000929;EC0001181;EC0001314;EC0001315;EC0001294;EC0001296;EC0001297;EC0001300;EC0001301;EC0001170;EC0001171;EC0001332;EC0001281;EC0001282;EC0001287;EC0001288;EC0001286;EC0001182;EC0001183;EC0001184;EC0001185;EC0001310;EC0001311;EC0001312;EC0001292;EC0001293;EC0001035;EC0001036;EC0001305;EC0001306;EC000703;EC000704;EC0001309;EC0001330;EC0001333"
"Phenylalanine metabolism","8","8","8","15.842","0.53387","0.69848","0.1068","100","1","1","1","1","P43","EC000480;EC000481;EC000482;EC00078;EC00079;EC00080;EC000955;EC000956;EC000957;EC000189;EC000190;EC000877;EC000878;EC000504;EC00081;EC00082"
"Steroid biosynthesis","40","33","30","17.909","0.53833","0.69339","0.10815","0","0","1","1","1","P44","EC000654;EC000936;EC000709;EC000710;EC000713;EC000207;EC000931;EC000933;EC000935;EC000628;EC0001207;EC0001208;EC000725;EC000842;EC0001409;EC0001343;EC0001344;EC0001345"
"Fatty acid elongation","28","9","6","6.8879","0.5946","0.81193","0.12701","0","0","1","1","1","P45","EC000182;EC000949;EC000798;EC000945;EC000947;EC000251;EC000252"
"Riboflavin metabolism","4","4","4","6.8879","0.5946","0.81193","0.12701","0","0","1","1","1","P46","EC000260;EC000261;EC000262;EC00049;EC00050;EC0009;EC000611"
"Galactose metabolism","27","26","26","21.353","0.59542","0.73051","0.12731","0","0","1","1","1","P47","EC000724;EC00086;EC00087;EC00088;EC000438;EC00090;EC00091;EC00092;EC00023;EC00024;EC000971;EC000973;EC000974;EC000968;EC000969;EC000970;EC00022;EC000341;EC000549;EC000550;EC000551"
"Pentose phosphate pathway","23","23","23","35.128","0.64375","0.74462","0.14688","100","1","1","1","1","P48","EC00086;EC00087;EC00088;EC000735;EC000523;EC000524;EC000127;EC000128;EC000129;EC000137;EC000138;EC000119;EC000121;EC000122;EC000965;EC000966;EC000967;EC000341;EC000330;EC000332;EC000674;EC000264;EC000265;EC000216;EC000218;EC000266;EC000751;EC000753;EC000754;EC000132;EC000278;EC000213;EC000214;EC000215"
