"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycerophospholipid metabolism","156","50","36","53.695","0.28058","0.34724","0.015336","0","0","1","1","1","P43","EC00032;EC0001159;EC0001269;EC0001272;EC000818;EC000810;EC000811;EC0001074;EC00022;EC00026;EC000212;EC00033;EC000824;EC0001206;EC0001207;EC0001208;EC0001209;EC000339;EC0001189;EC0001165;EC000303;EC000345;EC000346;EC000116;EC0001496;EC0001497;EC0001380;EC000565;EC000567;EC000379;EC000380;EC00072;EC00076;EC00079;EC000236;EC000556;EC000557;EC000142;EC000143;EC000106;EC000679;EC000238;EC000890;EC000891;EC000892;EC000893;EC00061;EC00062;EC00063;EC0001659;EC0001657;EC000262;EC000263"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","10","9","13.047","0.28225","0.42563","0.015418","0","0","1","1","1","P44","EC00022;EC00028;EC00030;EC000144;EC000145;EC00072;EC0001103;EC0001105;EC000688;EC000689;EC000790;EC000675;EC000676;EC000121"
"Propanoate metabolism","31","14","11","12.044","0.28459","0.4346","0.015532","0","0","1","1","1","P45","EC00028;EC00030;EC000134;EC000135;EC000137;EC000139;EC00042;EC0001446;EC00022;EC000742;EC00024;EC000236;EC00033"
"Dynorphin metabolism","8","3","3","4.0146","0.28624","0.55326","0.015614","0","0","1","1","1","P46","EC0001855;EC0001901;EC0001902;EC0001883;EC0001884"
"Heparan sulfate degradation","34","7","5","5.0182","0.2904","0.52928","0.015821","100","1","1","1","1","P47","EC000176;EC000177;EC000178;EC000243;EC00022;EC000159"
"Porphyrin metabolism","43","14","11","14.553","0.34437","0.48705","0.018807","58","0.58","1","1","1","P48","EC000763;EC000459;EC000460;EC000461;EC000243;EC00022;EC00023;EC00024;EC00082;EC0001388;EC000707;EC000708;EC000709;EC000774;EC000444"
"Carbon fixation","10","10","10","13.549","0.34954","0.49803","0.019124","100","1","1","1","1","P49","EC00042;EC000106;EC000142;EC000143;EC000315;EC00033;EC000387;EC00086;EC000148;EC000150;EC000151;EC000152;EC00052;EC00054"
"Di-unsaturated fatty acid beta-oxidation","26","10","5","8.531","0.37917","0.56904","0.021062","0","0","1","1","1","P50","EC00028;EC00030;EC00022;EC0001829;EC00024;EC000890;EC000891;EC000892;EC000893"
"Glycosphingolipid biosynthesis - globoseries","16","9","5","8.531","0.37917","0.56904","0.021062","0","0","1","1","1","P51","EC00041;EC00023;EC00061;EC00062;EC00063;EC000167;EC000178;EC000176;EC000177"
"Glyoxylate and Dicarboxylate Metabolism","12","7","6","8.531","0.37917","0.56904","0.021062","100","1","1","1","1","P52","EC000142;EC000143;EC000244;EC000303;EC000159;EC000219;EC000738;EC000740;EC000741"
