"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Selenocompound metabolism","16","5","1","2.2827","0.94097","1","0.46498","100","1","1","1","1","P57","EC00028"
"Cysteine and methionine metabolism","33","30","14","27.772","0.95866","0.97631","0.51887","100","1","1","1","1","P58","EC000663;EC000774;EC000775;EC00060;EC00065;EC00067;EC00017;EC000434;EC000436;EC000483;EC000485;EC0001386;EC0001387;EC0001388;EC000322;EC000114;EC000765;EC000747;EC000748;EC0001069;EC0001389"
"Taurine and hypotaurine metabolism","8","6","2","6.0871","0.97168","0.99441","0.57122","100","1","1","1","1","P59","EC000483;EC000485;EC0001086"
"Pentose and glucuronate interconversions","18","18","11","10.272","0.97263","0.99103","0.57565","100","1","1","1","1","P60","EC00022;EC000127;EC000137;EC000138;EC000212;EC000771"
"Glycine, serine and threonine metabolism","30","22","13","21.685","0.97526","0.98784","0.58865","100","1","1","1","1","P61","EC00060;EC000203;EC000322;EC000774;EC000775;EC00028;EC000161;EC000162;EC000208;EC000266;EC000194;EC000114;EC000856;EC000397;EC000399"
"Caffeine metabolism","10","10","2","4.9458","0.98098","0.99784","0.62088","100","1","1","1","1","P62","EC0001168;EC0001278"
"Citrate cycle (TCA cycle)","16","14","4","8.3697","0.98677","0.997","0.66154","100","1","1","1","1","P63","EC00032;EC00027;EC000173;EC000139"
"Drug metabolism - other enzymes","28","17","6","12.555","0.98688","0.9957","0.66242","82","0.82","1","1","1","P64","EC0001320;EC0001205;EC0001178;EC0001179;EC0001322;EC0001407;EC000257"
"Fatty acid elongation","28","9","1","3.8044","0.99113","1","0.70148","0","0","1","1","1","P65","EC000252"
"Purine metabolism","70","62","31","43.751","0.99144","0.99505","0.70481","0","0","1","1","1","P66","EC00026;EC000363;EC000127;EC00058;EC000132;EC000906;EC000919;EC0006;EC00013;EC000148;EC000221;EC000352;EC000463;EC000465;EC0001003;EC000733;EC000164;EC000165;EC000280;EC000369;EC000370;EC000590;EC000231;EC000896;EC000686;EC000292;EC000293;EC0001416;EC000356;EC0001125;EC0001418;EC0001419"
"Fatty acid degradation","35","13","2","5.7066","0.99165","0.99916","0.7071","0","0","1","1","1","P67","EC000252;EC000822"
