"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Saturated fatty acids beta-oxidation","36","13","9","12.507","0.52777","0.7287","0.03564","0","0","1","1","1","P56","EC0001062;EC0001063;EC0001064;EC0001250;EC000344;EC0001020;EC00022;EC00024;EC000206;EC0001249;EC000288;EC000289"
"Vitamin B9 (folate) metabolism","33","17","15","23.45","0.53723","0.68803","0.036839","0","0","1","1","1","P57","EC00034;EC00035;EC0001166;EC000182;EC000183;EC00076;EC00077;EC00078;EC00079;EC0001146;EC000762;EC000763;EC000764;EC000766;EC000442;EC0001426;EC000618;EC00024;EC000478;EC000472;EC000272;EC000706"
"Phytanic acid peroxisomal oxidation","34","7","7","9.3799","0.56059","0.77844","0.040009","0","0","1","1","1","P58","EC00036;EC00028;EC00031;EC000206;EC00022;EC0001677;EC000901;EC00045;EC00047"
"Glycolysis and Gluconeogenesis","49","38","36","42.209","0.56698","0.67864","0.04093","100","1","1","1","1","P59","EC00080;EC000197;EC000198;EC00041;EC00042;EC000695;EC000696;EC000387;EC000388;EC000103;EC000104;EC000105;EC000106;EC00033;EC000560;EC000561;EC00028;EC00031;EC000274;EC00022;EC000141;EC000142;EC00039;EC00086;EC000244;EC000246;EC000791;EC000792;EC000793;EC000267;EC000284;EC000285;EC000286;EC000287;EC000236;EC0001448;EC0001449;EC0001450;EC000220"
"Vitamin B6 (pyridoxine) metabolism","11","7","6","11.725","0.59103","0.78242","0.044635","100","1","1","1","1","P60","EC000290;EC000292;EC000293;EC00025;EC000538;EC000539;EC000341;EC000342;EC000593;EC000682;EC000683"
"Starch and Sucrose Metabolism","33","21","20","25.013","0.60442","0.74083","0.046871","0","0","1","1","1","P61","EC000511;EC000512;EC000514;EC000126;EC000127;EC000103;EC000104;EC000105;EC000106;EC00037;EC0001858;EC0001859;EC0001860;EC000941;EC000943;EC000108;EC000109;EC000111;EC000902;EC000645;EC00023;EC00039;EC000637"
"Alkaloid biosynthesis II","10","6","6","14.07","0.61637","0.7877","0.048981","0","0","1","1","1","P62","EC00022;EC00028;EC00031;EC000867;EC000868;EC0001475;EC0001476;EC0001594;EC0001596;EC0001597;EC0001598;EC000228;EC000231"
"De novo fatty acid biosynthesis","106","30","24","43.773","0.61731","0.72134","0.049152","0","0","1","1","1","P63","EC00028;EC00031;EC00022;EC000206;EC000876;EC000878;EC000635;EC000636;EC000951;EC0001020;EC000976;EC0001496;EC0001497;EC000901;EC0001494;EC0001495;EC0001419;EC0001421;EC0001422;EC000288;EC000289;EC0001499;EC0001500;EC000952;EC000953;EC0001029;EC0001030;EC0001032;EC0001929;EC0001078;EC0001079;EC000524;EC00059;EC000261;EC000262;EC000263;EC000890;EC000891;EC000892;EC000893"
"Limonene and pinene degradation","10","7","7","8.5982","0.63359","0.8348","0.052228","100","1","1","1","1","P64","EC000532;EC000734;EC000736;EC000737;EC0002094;EC0002095;EC0001015;EC0001016"
"Butanoate metabolism","34","23","22","40.646","0.63461","0.73983","0.052428","100","1","1","1","1","P65","EC00034;EC00035;EC00036;EC00028;EC00031;EC00033;EC00080;EC000134;EC000135;EC000136;EC000137;EC000139;EC0001316;EC0001317;EC0001471;EC0001473;EC000233;EC000234;EC0001069;EC0001070;EC0001071;EC000742;EC000743;EC0001451;EC00022;EC00024;EC000368;EC000369;EC000370;EC000371;EC0001040;EC0001043;EC000282;EC00045;EC00047;EC000695;EC000696"
"Fatty acid activation","74","26","20","32.048","0.65782","0.77088","0.057253","0","0","1","1","1","P66","EC00028;EC00031;EC000901;EC0002067;EC0002071;EC000636;EC000635;EC0001020;EC00022;EC00024;EC000206;EC0001829;EC0001496;EC0001497;EC0001494;EC0001495;EC0001491;EC0001492;EC000282;EC000288;EC000289;EC000890;EC000891;EC000892;EC000893;EC000876;EC000878;EC0001078;EC0001079"
"Fatty Acid Metabolism","63","19","14","28.921","0.68006","0.79375","0.062402","0","0","1","1","1","P67","EC0001013;EC0001014;EC0002067;EC000901;EC000344;EC0001020;EC0001029;EC0001030;EC0001032;EC00022;EC000206;EC0001494;EC0001495;EC000288;EC000289;EC000890;EC000891;EC000892;EC000893;EC000876;EC000878;EC000238;EC0002060;EC0002061;EC0002062;EC0002064"
"R Group Synthesis","7","4","3","3.1266","0.69006","0.93174","0.064908","0","0","1","1","1","P68","EC00024;EC000206;EC0001020"
"Biopterin metabolism","22","18","17","23.45","0.69017","0.81201","0.064936","0","0","1","1","1","P69","EC000182;EC000183;EC0001852;EC0001854;EC0001425;EC0001423;EC000313;EC000314;EC0001227;EC000678;EC0001074;EC0001853;EC00096;EC00097;EC0001651;EC0001652;EC000308;EC000310;EC00099;EC000100;EC000472"
"C5-Branched dibasic acid metabolism","10","6","5","5.4716","0.69618","0.90033","0.066504","100","1","1","1","1","P70","EC00022;EC00041;EC00033;EC000504;EC000506"
"Electron transport chain","7","2","2","5.4716","0.69618","0.90033","0.066504","0","0","1","1","1","P71","EC000430;EC000431;EC000432;EC000433;EC000427"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","23","21","41.428","0.71251","0.80351","0.071012","100","1","1","1","1","P72","EC00034;EC00035;EC00032;EC00028;EC00031;EC00069;EC00070;EC00073;EC00074;EC00075;EC0004;EC000294;EC000295;EC000296;EC0001074;EC000812;EC000813;EC0001406;EC0001407;EC0001409;EC0001411;EC00026;EC000202;EC000203;EC000204;EC000205;EC000153;EC000154;EC000687;EC000148;EC000150;EC000335;EC000336;EC00052;EC00054;EC0001080;EC0001082"
