"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Primary bile acid biosynthesis","46","32","32","34.433","0.0017113","0.0063841","0.027122","0","0","0.1180797","0.4405029","1","P1","EC000207;EC000863;EC000864;EC000725;EC000709;EC000710;EC000711;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000980;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000982;EC000694;EC000695;EC000696;EC0001343;EC0001345;EC000525;EC000526;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001347;EC0001348;EC000743;EC000744"
"Valine, leucine and isoleucine degradation","35","14","14","24.485","0.0073861","0.027058","0.027493","0","0","0.5022548","1","1","P2","EC000113;EC000114;EC000115;EC000116;EC000117;EC000118;EC000235;EC000236;EC000237;EC000238;EC00064;EC000202;EC000203;EC000204;EC000158;EC000159;EC000160;EC000141;EC000142;EC000143;EC000144;EC000322;EC000323;EC000324;EC000325;EC000636;EC000637;EC000638;EC00030;EC00032"
"Taurine and hypotaurine metabolism","8","6","6","12.243","0.010826","0.06706","0.027721","100","1","0.725342","1","1","P3","EC000446;EC000447;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Valine, leucine and isoleucine biosynthesis","8","8","8","17.599","0.012649","0.052466","0.027842","0","0","0.834834","1","1","P4","EC000208;EC000209;EC000235;EC000236;EC000237;EC000238;EC000141;EC000142;EC000143;EC000144;EC000158;EC000159;EC000160;EC000113;EC000114;EC000115;EC000116;EC000117;EC000118;EC000202;EC000203;EC000204"
"Glyoxylate and dicarboxylate metabolism","31","15","15","22.19","0.01457","0.048774","0.02797","100","1","0.94705","1","1","P5","EC000194;EC000382;EC000383;EC000384;EC000643;EC000644;EC00027;EC000173;EC000174;EC000603;EC000604;EC000605;EC000606;EC00060;EC00061;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
"Arginine biosynthesis","14","12","12","21.425","0.018196","0.059006","0.028215","100","1","1","1","1","P6","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000488;EC000139;EC000140"
"Pyrimidine metabolism","39","37","35","62.744","0.018487","0.035187","0.028234","0","0","1","1","1","P7","EC0008;EC00057;EC00058;EC00059;EC000195;EC000639;EC000105;EC000106;EC00072;EC000286;EC000287;EC000288;EC000393;EC000394;EC000395;EC000396;EC000175;EC000176;EC000177;EC00056;EC000123;EC000124;EC00044;EC00045;EC00046;EC00047;EC000427;EC000428;EC000429;EC000528;EC000242;EC000243;EC000244;EC000570;EC000571;EC000423;EC000700;EC000454;EC000353;EC000422;EC000354;EC000224;EC000225;EC000226;EC000227;EC000199;EC000200;EC0001394;EC0001395;EC0001396;EC0001188;EC0001189;EC000402;EC000403;EC000404;EC000284;EC000285;EC000132;EC000107;EC000108;EC000110;EC00028;EC00029;EC000523;EC000524;EC000322;EC000323;EC000324;EC000325;EC0001190"
"Propanoate metabolism","19","10","10","15.303","0.026329","0.096652","0.028771","0","0","1","1","1","P8","EC000113;EC000114;EC000115;EC000116;EC000117;EC000118;EC0001114;EC0001115;EC00030;EC00032;EC00028;EC00029;EC00018;EC000636;EC000637;EC000638;EC00064;EC0001392;EC000206"
"Butanoate metabolism","15","9","9","18.364","0.043203","0.12209","0.029963","0","0","1","1","1","P9","EC000636;EC000637;EC000638;EC000113;EC000114;EC000115;EC000116;EC000117;EC000118;EC000322;EC000323;EC000324;EC000325;EC00019;EC00020;EC000249;EC00021;EC00030;EC00032;EC000771;EC000772;EC000773"
"Amino sugar and nucleotide sugar metabolism","39","38","37","45.145","0.057701","0.10538","0.031029","0","0","1","1","1","P10","EC000155;EC000156;EC000157;EC000348;EC000349;EC00033;EC0001116;EC0001117;EC0001118;EC000272;EC000275;EC00085;EC00086;EC00087;EC00088;EC00022;EC000192;EC000338;EC000339;EC000340;EC00098;EC00099;EC00023;EC00024;EC000306;EC000817;EC000818;EC000819;EC000612;EC000613;EC000614;EC000728;EC000729;EC000314;EC000315;EC000317;EC000280;EC0001385;EC000281;EC000146;EC000147;EC000210;EC000211;EC000869;EC000870;EC000871;EC000148;EC0001398;EC0001399;EC0001400"
"Fructose and mannose metabolism","20","19","19","22.955","0.10614","0.21495","0.034901","98","0.98","1","1","1","P11","EC000549;EC000550;EC000551;EC00023;EC00024;EC000341;EC000342;EC00085;EC00086;EC00087;EC00088;EC000817;EC000818;EC000819;EC00098;EC00099;EC000121;EC000122;EC000206;EC000612;EC000613;EC000614;EC000306;EC000888;EC000889;EC000890"
"Linoleic acid metabolism","4","4","4","10.712","0.10711","0.29223","0.034983","0","0","1","1","1","P12","EC000718;EC000719;EC000720;EC000721;EC0001234;EC0001235;EC0001236;EC0001237;EC0001238;EC000912;EC000913;EC000914;EC000915"
"Alanine, aspartate and glutamate metabolism","28","27","26","52.031","0.11206","0.17763","0.035409","100","1","1","1","1","P13","EC000621;EC000622;EC000623;EC000624;EC000625;EC00037;EC00039;EC000175;EC000176;EC000177;EC000836;EC000837;EC000838;EC000839;EC000884;EC00028;EC00029;EC000113;EC000114;EC000115;EC000116;EC000117;EC000118;EC00019;EC00020;EC000322;EC000323;EC000324;EC000325;EC00057;EC00058;EC00059;EC000588;EC000859;EC000861;EC0001216;EC0001217;EC0001383;EC000188;EC00027;EC000139;EC000140;EC00018;EC000402;EC000403;EC000404;EC00030;EC00032;EC00021;EC000195;EC000338;EC000339;EC000340;EC000827;EC0001380;EC0001381"
"Vitamin B6 metabolism","9","9","9","14.538","0.11896","0.27531","0.036012","99","0.99","1","1","1","P14","EC0001121;EC0001122;EC000489;EC000511;EC000296;EC000297;EC00010;EC000253;EC000254;EC000255;EC000256;EC000456;EC000457;EC000458;EC0001119;EC0001120;EC000565"
"D-Amino acid metabolism","15","15","15","26.016","0.12368","0.23182","0.03643","100","1","1","1","1","P15","EC00057;EC00058;EC00059;EC00019;EC00020;EC00037;EC00039;EC00060;EC00061;EC00063;EC00053;EC00054;EC00073;EC00074;EC000169;EC000170;EC000171;EC000172;EC000397;EC000399;EC000739;EC000740;EC000741;EC000742;EC00027;EC000880;EC000881;EC000859;EC000861"
"Lysine degradation","21","14","13","29.076","0.13958","0.24644","0.037879","100","1","1","1","1","P16","EC00035;EC00036;EC000413;EC000414;EC000415;EC000416;EC000417;EC000418;EC000813;EC000814;EC000815;EC000816;EC000599;EC000600;EC00064;EC000304;EC000305;EC0001422;EC0001336;EC0001337;EC0001338;EC0001339;EC000376;EC000377;EC000378;EC000882;EC000883;EC000664;EC000665;EC000419;EC000421;EC000684"
"Pyruvate metabolism","20","12","11","13.773","0.14403","0.31883","0.038295","100","1","1","1","1","P17","EC00027;EC00068;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"Glutathione metabolism","19","13","13","21.425","0.14595","0.27837","0.038476","100","1","1","1","1","P18","EC00040;EC00041;EC00042;EC0004;EC000145;EC000516;EC000517;EC000518;EC000100;EC000101;EC000102;EC00019;EC00020;EC000701;EC000739;EC000740;EC000741;EC000742;EC00073;EC00074;EC000151;EC000298;EC000533;EC0001290"
"Nitrogen metabolism","6","3","3","4.591","0.18448","0.5438","0.04232","100","1","1","1","1","P19","EC00019;EC00020;EC000195;EC00057;EC00058;EC00059"
"Steroid biosynthesis","40","33","32","19.894","0.19743","0.35368","0.043704","0","0","1","1","1","P20","EC000654;EC000655;EC000936;EC000709;EC000710;EC000711;EC000712;EC000713;EC000207;EC000931;EC000933;EC000934;EC000935;EC000628;EC0001207;EC0001208;EC000725;EC000842;EC0001409;EC000734;EC0001343;EC0001345"
"Arachidonic acid metabolism","43","43","43","30.607","0.19753","0.31853","0.043716","0","0","1","1","1","P21","EC000920;EC000921;EC000922;EC000923;EC000228;EC000229;EC000230;EC000760;EC000761;EC000762;EC0001110;EC0001112;EC0001113;EC000576;EC000577;EC000578;EC000579;EC000763;EC000390;EC000391;EC000392;EC000499;EC000500;EC000501;EC000503;EC000909;EC000910;EC0001225;EC0001226;EC0001107;EC0001108;EC0001104;EC0001105"
"Glycine, serine and threonine metabolism","30","22","21","43.615","0.22192","0.32494","0.046462","100","1","1","1","1","P22","EC00060;EC00061;EC00063;EC000473;EC000202;EC000203;EC000204;EC000475;EC000213;EC000214;EC000215;EC000322;EC000323;EC000324;EC000325;EC000774;EC000775;EC000776;EC000607;EC000608;EC000610;EC00028;EC00029;EC000161;EC000208;EC000209;EC000266;EC000194;EC000289;EC000290;EC000291;EC000100;EC000101;EC000102;EC000113;EC000114;EC000115;EC000116;EC000117;EC000118;EC000855;EC000856;EC000858;EC00018;EC000397;EC000399"
"Thiamine metabolism","5","3","3","3.8258","0.24465","0.64174","0.049193","100","1","1","1","1","P23","EC000100;EC000101;EC000102;EC000826;EC00064"
"Drug metabolism - cytochrome P450","43","30","28","39.024","0.25881","0.375","0.050985","0","0","1","1","1","P24","EC000929;EC000930;EC0001181;EC0001315;EC0001294;EC0001296;EC0001297;EC0001300;EC0001301;EC0001302;EC0001304;EC0001170;EC0001171;EC0001332;EC0001281;EC0001282;EC0001287;EC0001288;EC0001284;EC0001285;EC0001286;EC0001182;EC0001183;EC0001184;EC0001185;EC0001310;EC0001312;EC0001291;EC0001292;EC0001293;EC0001035;EC0001036;EC0001037;EC0001305;EC0001306;EC000703;EC000704;EC0001308;EC0001309;EC0001330;EC0001333"
"Pantothenate and CoA biosynthesis","18","15","13","32.137","0.26273","0.39296","0.051493","0","0","1","1","1","P25","EC000560;EC000561;EC000568;EC000569;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000202;EC000203;EC000204;EC00037;EC00039;EC0007;EC000848;EC000850;EC000851;EC000852;EC000853;EC000100;EC000101;EC000102;EC00028;EC00029;EC000107;EC000108;EC000110;EC000158;EC000159;EC000160;EC0006"
"beta-Alanine metabolism","21","14","14","25.251","0.26465","0.414","0.051744","100","1","1","1","1","P26","EC000206;EC00018;EC00028;EC00029;EC00037;EC00039;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000366;EC000367;EC000368;EC000573;EC000574;EC000533;EC000958;EC000107;EC000108;EC000110;EC000960;EC000152;EC000154;EC000298"
"Porphyrin metabolism","29","10","8","14.538","0.27768","0.482","0.053484","0","0","1","1","1","P27","EC000443;EC000444;EC000445;EC000634;EC000635;EC000582;EC000583;EC000584;EC000586;EC000397;EC000399;EC00019;EC00020;EC000433;EC0001066;EC0001397"
"Folate biosynthesis","26","22","22","21.425","0.28127","0.44725","0.053976","0","0","1","1","1","P28","EC000381;EC000269;EC000271;EC000562;EC0001096;EC0001094;EC0001095;EC00034;EC000581;EC000928;EC000164;EC000165;EC000166;EC0001097;EC0001098;EC0001377;EC0001256;EC0001257;EC000276;EC000277;EC000828;EC0001379;EC0001401"
"Steroid hormone biosynthesis","87","77","68","48.206","0.28607","0.39256","0.05464","0","0","1","1","1","P29","EC000207;EC000863;EC000864;EC000976;EC000977;EC000978;EC000979;EC000980;EC000745;EC000990;EC000988;EC000459;EC000460;EC000903;EC000904;EC000452;EC000453;EC000656;EC000657;EC000758;EC000534;EC000531;EC000532;EC000991;EC000992;EC000993;EC000995;EC000943;EC000424;EC000592;EC000593;EC000944;EC000953;EC000952;EC000892;EC0001354;EC0001355;EC000996;EC0001352;EC0001353;EC000989;EC0001198;EC0001199;EC0001197;EC0001195;EC0001196;EC0001193;EC0001194;EC000998;EC0001000"
"Pentose and glucuronate interconversions","18","18","18","20.66","0.31759","0.4906","0.059234","93","0.93","1","1","1","P30","EC000192;EC00022;EC00085;EC00086;EC00087;EC00088;EC000264;EC000265;EC000127;EC000128;EC000129;EC000137;EC000138;EC000361;EC000631;EC000632;EC000633;EC000212;EC000771;EC000772;EC000773;EC000548"
"Citrate cycle (TCA cycle)","16","14","12","16.834","0.34123","0.53511","0.062966","100","1","1","1","1","P31","EC00021;EC00064;EC00030;EC00032;EC000962;EC000963;EC000188;EC00027;EC000173;EC000174;EC000382;EC000383;EC000384;EC00018;EC000139;EC000140;EC00068;EC00070"
"Cysteine and methionine metabolism","33","30","25","55.857","0.35584","0.45939","0.065404","100","1","1","1","1","P32","EC000662;EC000663;EC000197;EC00011;EC000774;EC000775;EC000776;EC000183;EC00060;EC00061;EC00063;EC00065;EC00066;EC00067;EC00017;EC0001260;EC000446;EC000447;EC000434;EC000435;EC000436;EC000437;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC0001209;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000324;EC000325;EC000113;EC000114;EC000115;EC000116;EC000117;EC000118;EC000607;EC000608;EC000610;EC000766;EC000747;EC0001004;EC00018;EC0001067;EC0001068;EC0001069;EC0001389;EC0001390;EC000213;EC000214;EC000215"
"Terpenoid backbone biosynthesis","14","7","6","13.008","0.36948","0.59015","0.067777","0","0","1","1","1","P33","EC000385;EC000386;EC000387;EC000388;EC000648;EC000649;EC000640;EC000641;EC000328;EC000329;EC0001375;EC000844;EC000846;EC000847"
