"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Chondroitin sulfate degradation","37","6","4","3.5268","0.42097","0.68922","0.024234","100","1","1","1","1","P35","EC000243;EC000178;EC000176;EC000159"
"O-Glycan biosynthesis","16","6","4","3.5268","0.42097","0.68922","0.024234","0","0","1","1","1","P36","EC00048;EC00061;EC00062;EC00037"
"Linoleate metabolism","46","37","29","28.998","0.42562","0.51972","0.024612","100","1","1","1","1","P37","EC000166;EC0001804;EC0001159;EC0002029;EC0001828;EC0001783;EC0001840;EC0001200;EC0001201;EC0001541;EC0002009;EC00055;EC00056;EC00057;EC00082;EC0001619;EC0001614;EC0001617;EC0001790;EC0001791;EC0001213;EC0001214;EC0001215;EC000890;EC000891;EC000892;EC000893;EC000897"
"Lipoate metabolism","8","4","3","4.7024","0.45136","0.68413","0.026832","44","0.44","1","1","1","P38","EC000560;EC000561;EC0001810;EC00050;EC00051"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","23","18","20.769","0.45812","0.5702","0.027452","100","1","1","1","1","P39","EC00035;EC00032;EC00028;EC00070;EC00074;EC0001128;EC000294;EC0001074;EC000812;EC0001407;EC0001408;EC0001411;EC000203;EC000153;EC000148;EC000335;EC000336;EC00053;EC00054;EC0001080"
"N-Glycan Degradation","16","7","3","5.8781","0.47465","0.68258","0.029038","0","0","1","1","1","P40","EC000176;EC000178;EC0002084;EC000750;EC000751;EC000752"
"C5-Branched dibasic acid metabolism","10","6","3","2.7431","0.49501","0.78557","0.03114","100","1","1","1","1","P41","EC00041;EC000504;EC000505"
"Phosphatidylinositol phosphate metabolism","59","31","18","18.026","0.51264","0.63166","0.0331","0","0","1","1","1","P42","EC000857;EC000818;EC0001164;EC000387;EC000853;EC00061;EC00062;EC000833;EC000835;EC000243;EC000108;EC000109;EC000112;EC000289;EC00048;EC0001661;EC0001663"
"Glycerophospholipid metabolism","156","50","25","41.93","0.51485","0.59233","0.033356","0","0","1","1","1","P43","EC00032;EC0001159;EC0001269;EC0001272;EC000818;EC0001464;EC0001074;EC0001207;EC0001208;EC000339;EC000340;EC0001189;EC0001165;EC000303;EC000116;EC0001379;EC0001380;EC000567;EC000379;EC000383;EC00076;EC000236;EC000555;EC000556;EC000140;EC000141;EC000142;EC000143;EC000679;EC000890;EC000891;EC000892;EC000893;EC00061;EC00062;EC0001658;EC000261;EC000262;EC000263"
"Squalene and cholesterol biosynthesis","55","33","12","13.715","0.51707","0.653","0.033615","0","0","1","1","1","P44","EC000374;EC000780;EC0001235;EC0001231;EC0001233;EC000446;EC000448;EC000449;EC0001098;EC000796;EC0001176;EC000135;EC0002015"
"Heparan sulfate degradation","34","7","4","3.9187","0.51847","0.76295","0.03378","100","1","1","1","1","P45","EC000176;EC000178;EC000243;EC000159"
"Glycine, serine, alanine and threonine metabolism","88","51","35","43.106","0.52163","0.59784","0.034155","100","1","1","1","1","P46","EC00035;EC00032;EC00028;EC000182;EC000183;EC000976;EC000368;EC00070;EC0001788;EC0001789;EC000233;EC000236;EC000303;EC000474;EC0001910;EC00083;EC00085;EC000459;EC000284;EC000285;EC0001453;EC0001455;EC0001456;EC000219;EC00018;EC00076;EC000135;EC000869;EC000870;EC000560;EC000561;EC000740;EC000741;EC000239;EC0001749;EC000969;EC00055;EC00056;EC00057;EC00043"
"Omega-3 fatty acid metabolism","39","15","6","9.4049","0.52367","0.68626","0.034399","0","0","1","1","1","P47","EC00028;EC0001669;EC0001673;EC0001213;EC0001214;EC0001215;EC0001677;EC0001686;EC0001687"
"Fatty acid oxidation","35","9","2","5.0943","0.53609","0.75058","0.035934","0","0","1","1","1","P48","EC0001829;EC000430;EC000431;EC000432;EC000433"
"N-Glycan biosynthesis","48","18","10","11.756","0.54735","0.69135","0.037396","0","0","1","1","1","P49","EC000127;EC000352;EC000144;EC000145;EC000836;EC00061;EC00062;EC00037;EC000120;EC00041;EC00048"
"Vitamin D3 (cholecalciferol) metabolism","16","13","8","7.4455","0.5627","0.73916","0.039501","0","0","1","1","1","P50","EC000881;EC000882;EC000905;EC000906;EC0001747;EC0001742;EC0001744"
"De novo fatty acid biosynthesis","106","30","14","21.945","0.5807","0.68447","0.042151","0","0","1","1","1","P51","EC00028;EC000636;EC000976;EC0001422;EC000289;EC0001499;EC0001500;EC000953;EC0001030;EC0001032;EC0001929;EC0001079;EC00059;EC000261;EC000262;EC000263;EC000890;EC000891;EC000892;EC000893"
"Dynorphin metabolism","8","3","2","3.135","0.60052","0.84763","0.045316","0","0","1","1","1","P52","EC0001856;EC0001901;EC0001902"
"Glycolysis and Gluconeogenesis","49","38","18","21.161","0.61293","0.71549","0.047444","100","1","1","1","1","P53","EC000197;EC00041;EC00042;EC000696;EC000387;EC000560;EC000561;EC00028;EC000140;EC000141;EC000142;EC000143;EC000791;EC000266;EC000267;EC000284;EC000285;EC000236;EC0001448"
"Di-unsaturated fatty acid beta-oxidation","26","10","3","6.6618","0.62081","0.79512","0.048856","0","0","1","1","1","P54","EC00028;EC0001829;EC000890;EC000891;EC000892;EC000893"
"Galactose metabolism","41","39","18","24.688","0.63124","0.72448","0.050808","0","0","1","1","1","P55","EC000176;EC000178;EC00037;EC000108;EC000109;EC000112;EC0001269;EC0001272;EC0001275;EC000236;EC000144;EC000145;EC000247;EC0001266;EC0001268;EC000387;EC000664;EC000140;EC000141;EC000142;EC000143;EC000637"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","22","13","16.067","0.66505","0.77458","0.057818","100","1","1","1","1","P56","EC000166;EC000247;EC00055;EC00056;EC00057;EC000578;EC000243;EC000964;EC000965;EC000948;EC0001277;EC00082;EC000668;EC000949"
"Alkaloid biosynthesis II","10","6","4","7.0537","0.68441","0.83828","0.062373","79","0.79","1","1","1","P57","EC00028;EC000868;EC0001475;EC000228;EC000230;EC000231"
"D4&E4-neuroprostanes formation","37","26","24","4.7024","0.68538","0.86766","0.062613","49","0.49","1","1","1","P58","EC0002033;EC0002035;EC0002036;EC00082"
"Glycosphingolipid metabolism","67","37","17","21.945","0.68715","0.77839","0.063056","0","0","1","1","1","P59","EC000567;EC000379;EC000383;EC00037;EC000352;EC000289;EC0001466;EC0001467;EC00059;EC00061;EC00062;EC0001464;EC00041;EC00076;EC000178;EC000176;EC000679;EC000923;EC00048"
"Proteoglycan biosynthesis","27","9","4","3.5268","0.69029","0.89289","0.063847","0","0","1","1","1","P60","EC00048;EC00059;EC00037"
