"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Primary bile acid biosynthesis","46","32","32","35.91","0.3569","0.49837","0.065193","0","0","1","1","1","P33","EC000207;EC000863;EC000864;EC000725;EC000709;EC000710;EC000711;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000694;EC000696;EC0001343;EC0001345;EC000525;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001348;EC000743;EC000744"
"Fructose and mannose metabolism","20","19","19","23.94","0.35958","0.53436","0.065653","100","1","1","1","1","P34","EC000549;EC000551;EC00023;EC00024;EC00025;EC000341;EC000342;EC00085;EC00086;EC00087;EC00088;EC00089;EC000817;EC000818;EC000819;EC00099;EC000122;EC000206;EC000612;EC000613;EC000614;EC000306;EC000888;EC000889;EC000890"
"Arginine and proline metabolism","35","33","32","54.264","0.39462","0.50937","0.071993","100","1","1","1","1","P35","EC00053;EC00054;EC000475;EC000289;EC000290;EC000291;EC00073;EC00074;EC000647;EC000151;EC000298;EC00011;EC000533;EC000462;EC000322;EC000323;EC000324;EC000325;EC000377;EC000378;EC000615;EC000618;EC0001099;EC0001100;EC000739;EC000740;EC000741;EC000742;EC000397;EC000399;EC000169;EC000170;EC000171;EC000172;EC00019;EC00020;EC000834;EC0001102;EC0001103;EC000643;EC000644;EC000777;EC000780;EC000781;EC000201;EC000573;EC000574;EC000575;EC000813;EC000814;EC000815;EC000816;EC000859;EC000861;EC00018"
"Vitamin B6 metabolism","9","9","9","15.162","0.39999","0.61806","0.073025","100","1","1","1","1","P36","EC0001121;EC0001122;EC000489;EC000511;EC000296;EC000297;EC00010;EC000253;EC000255;EC000256;EC000456;EC000457;EC000458;EC0001119;EC0001120;EC000565"
"Terpenoid backbone biosynthesis","14","7","6","13.566","0.49577","0.71206","0.094632","79","0.79","1","1","1","P37","EC000385;EC000386;EC000387;EC000388;EC000648;EC000649;EC000640;EC000641;EC000328;EC000329;EC0001375;EC000844;EC000846;EC000847"
"Steroid biosynthesis","40","33","32","20.748","0.51258","0.68949","0.099153","0","0","1","1","1","P38","EC000654;EC000936;EC000709;EC000710;EC000711;EC000712;EC000713;EC000207;EC000931;EC000933;EC000934;EC000935;EC000628;EC0001207;EC0001208;EC000725;EC000842;EC0001409;EC000734;EC0001343;EC0001345"
"Lysine degradation","21","14","13","30.324","0.58064","0.72006","0.12029","100","1","1","1","1","P39","EC00035;EC00036;EC000413;EC000414;EC000415;EC000416;EC000418;EC000813;EC000814;EC000815;EC000816;EC000599;EC000600;EC00064;EC000304;EC000305;EC0001336;EC0001337;EC0001338;EC0001339;EC000835;EC000377;EC000378;EC000882;EC000883;EC000664;EC000665;EC000419;EC000421;EC000684"
"Pantothenate and CoA biosynthesis","18","15","14","33.516","0.59871","0.72911","0.1268","93","0.93","1","1","1","P40","EC000645;EC000560;EC000561;EC000568;EC000569;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000202;EC000203;EC000204;EC00037;EC00039;EC0007;EC000848;EC000850;EC000851;EC000852;EC000853;EC000100;EC000101;EC000102;EC00028;EC00029;EC000107;EC000108;EC000158;EC000160;EC0006"
"Ascorbate and aldarate metabolism","8","8","8","11.97","0.60037","0.8006","0.12741","100","1","1","1","1","P41","EC00023;EC00024;EC00025;EC00022;EC000216;EC000218;EC000800;EC000192;EC000264;EC000265;EC000212;EC000552"
"Purine metabolism","70","62","58","91.77","0.6047","0.6845","0.12905","0","0","1","1","1","P42","EC00026;EC000362;EC000363;EC000364;EC000365;EC000127;EC000128;EC000129;EC000131;EC00057;EC00058;EC00059;EC000132;EC000827;EC000891;EC000906;EC000907;EC000908;EC000925;EC000926;EC000924;EC000919;EC0001;EC0006;EC00013;EC00015;EC000884;EC000148;EC000219;EC000220;EC000221;EC000223;EC000350;EC000351;EC000352;EC000463;EC000464;EC000465;EC000466;EC000467;EC000468;EC0001001;EC0001002;EC0001003;EC000733;EC000104;EC000164;EC000165;EC000166;EC000512;EC000267;EC000268;EC000280;EC000281;EC000245;EC000246;EC000442;EC000669;EC000901;EC00034;EC000369;EC000370;EC000590;EC00048;EC000231;EC000232;EC000896;EC000685;EC000686;EC000293;EC000168;EC0001214;EC0001215;EC000697;EC000699;EC0001410;EC0001412;EC0001413;EC0001415;EC0001416;EC000356;EC000357;EC000150;EC000687;EC000782;EC0001125;EC0001126;EC0001418;EC0001419;EC0001421"
