"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glyoxylate and dicarboxylate metabolism","31","15","15","22.935","0.00069148","0.0063382","0.026714","97","0.97","0.04771212","0.4309976","1","P1","EC000193;EC000194;EC000382;EC000383;EC000384;EC000643;EC000644;EC00027;EC000173;EC000174;EC000603;EC000604;EC000605;EC000606;EC00060;EC00061;EC00062;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
"Amino sugar and nucleotide sugar metabolism","39","38","38","46.661","0.0013841","0.0046592","0.026759","0","0","0.0941188","0.3214848","1","P2","EC000155;EC000156;EC000157;EC000348;EC000349;EC00033;EC0001116;EC0001117;EC0001118;EC000272;EC000273;EC000275;EC00085;EC00086;EC00087;EC00088;EC00089;EC00022;EC000192;EC000338;EC000339;EC000340;EC00098;EC00099;EC00023;EC00024;EC00025;EC000306;EC000817;EC000818;EC000819;EC000612;EC000613;EC000614;EC000840;EC000841;EC000728;EC000729;EC000314;EC000315;EC000317;EC000280;EC0001385;EC000281;EC000146;EC000147;EC000210;EC000211;EC000869;EC000870;EC000871;EC000148;EC0001398;EC0001399;EC0001400"
"Taurine and hypotaurine metabolism","8","6","6","12.654","0.018433","0.10148","0.027878","100","1","1","1","1","P3","EC000446;EC000447;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Cysteine and methionine metabolism","33","30","30","57.733","0.023849","0.047431","0.028244","100","1","1","1","1","P4","EC000662;EC000663;EC0001258;EC000197;EC000647;EC00011;EC000774;EC000775;EC000776;EC000183;EC000184;EC00060;EC00061;EC00062;EC00063;EC00065;EC00067;EC00017;EC0001260;EC000446;EC000447;EC000434;EC000435;EC000436;EC000437;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC0001209;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000324;EC000325;EC000113;EC000114;EC000115;EC000116;EC000118;EC000607;EC000608;EC000610;EC000831;EC0001187;EC000765;EC000766;EC0001005;EC000746;EC000747;EC0001004;EC00018;EC0001067;EC0001068;EC0001069;EC0001389;EC0001390;EC000213;EC000214;EC000215"
"Arginine biosynthesis","14","12","12","22.144","0.036042","0.10381","0.029087","100","1","1","1","1","P5","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000488;EC000139;EC000140"
"Pyruvate metabolism","20","12","11","14.236","0.068537","0.20546","0.031468","100","1","1","1","1","P6","EC00027;EC00068;EC00069;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"Histidine metabolism","16","16","16","40.334","0.096708","0.1735","0.033704","100","1","1","1","1","P7","EC00019;EC00020;EC000866;EC000867;EC000868;EC000540;EC000542;EC000543;EC000152;EC000154;EC000366;EC000367;EC000368;EC000941;EC000942;EC000939;EC0001070;EC0001071;EC0001072;EC0001073;EC0001074;EC000372;EC000373;EC000374;EC000650;EC000651;EC000653;EC000626;EC000405;EC000406;EC000407;EC000408;EC000409;EC000573;EC000574;EC000575;EC000199;EC000200;EC0001075;EC0001076;EC0001077;EC0001078;EC00037;EC00039"
"D-Amino acid metabolism","15","15","15","26.889","0.10143","0.20518","0.034095","100","1","1","1","1","P8","EC00057;EC00058;EC00059;EC00019;EC00020;EC00037;EC00039;EC00060;EC00061;EC00062;EC00063;EC00053;EC00054;EC00073;EC00074;EC000169;EC000170;EC000171;EC000172;EC000397;EC000399;EC000739;EC000740;EC000741;EC000742;EC00027;EC000880;EC000881;EC000859;EC000861"
"Primary bile acid biosynthesis","46","32","32","35.589","0.1035","0.19023","0.034268","0","0","1","1","1","P9","EC000207;EC000863;EC000864;EC000725;EC000709;EC000710;EC000711;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000694;EC000695;EC000696;EC0001343;EC0001345;EC000525;EC000526;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001348;EC000743;EC000744"
"Glutathione metabolism","19","13","13","22.144","0.10537","0.22622","0.034425","100","1","1","1","1","P10","EC00040;EC00041;EC00042;EC0004;EC000145;EC000515;EC000516;EC000517;EC000518;EC000100;EC000101;EC000102;EC00019;EC00020;EC000701;EC000739;EC000740;EC000741;EC000742;EC00073;EC00074;EC000151;EC000298;EC000533;EC0001290"
