"","m.z","p.value","mode","r.t"
"1",85.010801981515,2.75436068359684e-06,"positive",43.1204634623064
"2",85.0285141787934,0.52349187309889,"positive",131.157372490902
"3",85.0285250065169,1.4473490679641e-11,"positive",215.460880776081
"4",85.0285432865742,1.0396734613328e-18,"positive",63.3462345354645
"5",85.0478787101396,6.71180179654111e-24,"positive",68.4608308969983
"6",85.0520134874861,4.92006193353791e-14,"positive",71.1763683492488
"7",85.0649446100113,7.05388674268767e-07,"positive",80.6447055695995
"8",85.0842840002285,1.31036719997198e-16,"positive",78.4080277507436
"9",85.0886992163423,0.0185385029538125,"positive",266.031149010502
"10",85.3262862671651,0.000167086218965695,"positive",24.5010199547904
"11",85.5156377779549,0.853812322865721,"positive",248.297144217177
"12",85.5156776145565,0.00444946683201248,"positive",112.985496371632
"13",85.6372544908564,0.00236361694872072,"positive",284.830322626393
"14",85.9632050889436,0.280308155418133,"positive",111.692150089951
"15",86.0601613534253,0.00228278177642685,"positive",216.990845612625
"16",86.0601924977974,3.70938189182029e-09,"positive",52.5658721369948
"17",86.0713898324376,1,"positive",32.6231144181901
"18",86.0967187659154,2.87320383339714e-31,"positive",42.2289074816136
"19",86.7168942277875,0.782010481899682,"positive",49.6932593158184
"20",86.7192555741156,4.39708064364837e-05,"positive",27.4677045404104
"21",86.7286190113102,0.213431150946582,"positive",26.6182339584986
"22",86.7749877205451,5.3100895448721e-07,"positive",28.3827768037465
"23",86.9087770707585,8.9583056914571e-10,"positive",44.407522058068
"24",86.9387121178465,1,"positive",49.6633109248194
"25",86.9526993834988,6.63372089245286e-12,"positive",26.9137311305001
"26",86.9558978173278,0.140960959983043,"positive",113.868148903441
"27",86.9641511110962,0.28578711140291,"positive",113.684658860274
"28",87.0264328745922,1.3200168739869e-07,"positive",46.4206189902313
"29",87.0441796249684,8.72529508232569e-05,"positive",193.100097585215
"30",87.0441935078035,0.0197737662281465,"positive",40.6625283250675
"31",87.0552289840329,2.37785469602602e-28,"positive",72.879675915629
"32",87.0640739876924,8.61451190025593e-06,"positive",28.838397923089
"33",87.0788411672617,5.6124708839176e-08,"positive",72.4731411011194
"34",87.0936116834336,4.20176925131892e-17,"positive",42.8737964939609
"35",87.0999109171601,1.12159705417804e-31,"positive",42.6732762519734
"36",87.1028623914827,2.60228912216444e-09,"positive",43.7135671772522
"37",87.160951166866,0.440388000182551,"positive",44.9038787711012
"38",87.1766161501555,2.29764873792983e-10,"positive",27.2156026903634
"39",87.2880933992656,4.1147479158516e-09,"positive",27.2821318448422
"40",87.4006165598694,9.60684314342359e-09,"positive",28.1225551873599
"41",87.5120293897779,0.00219111757857011,"positive",27.5879401830185
"42",88.0216593603317,0.316714782080531,"positive",222.826424074499
"43",88.021679492938,0.425845940551491,"positive",45.9115672778341
"44",88.0232760598122,0.159292904099076,"positive",113.38567197869
"45",88.0394420519191,4.16247620215864e-24,"positive",65.1718652300233
"46",88.0475389274924,2.00694438366086e-06,"positive",232.066235830148
"47",88.0579472058142,0.0309092409150889,"positive",64.1171097091935
"48",88.0758068403613,0.00638423485345371,"positive",118.492015685037
"49",88.087044672945,1.01720279719906e-08,"positive",65.1986760584162
"50",88.1033105652738,6.56563803705594e-12,"positive",43.8321528639505
"51",88.5091968716259,0.23493439124093,"positive",221.393579125436
"52",88.9527126739963,0.0725879346397417,"positive",261.972616486356
"53",88.9527381148858,0.0170488903085945,"positive",111.650074941419
"54",88.9931205111981,3.71741517724265e-06,"positive",61.9235298638156
"55",88.9931624657581,0.00157014268537666,"positive",183.884827483235
"56",89.0084281905117,0.0417521220097397,"positive",247.680256659646
"57",89.0250352022006,0.327016449567022,"positive",49.6637436181993
"58",89.0387380574804,1.5127280162635e-05,"positive",41.7644308530072
"59",89.0426695192855,0.635815630346957,"positive",188.279804900399
"60",89.059782466347,0.000595596812308434,"positive",27.2699582876527
"61",89.0598271041968,0.241759904948865,"positive",195.862411400638
"62",89.0791828931432,0.4242490403546,"positive",221.226846137721
"63",89.1074617664026,0.00568615138895119,"positive",61.1842942840643
"64",89.165167552877,3.14413953847542e-05,"positive",28.3994402255323
"65",89.2206563314981,0.000820022241674723,"positive",31.9108769017788
"66",89.5068805550707,0.585240481364008,"positive",218.480482749333
"67",89.5068834437151,0.367247805602915,"positive",142.771134429762
"68",89.6193646865164,2.52184124193602e-06,"positive",26.2327190785665
"69",89.7308033500439,0.00255083389274922,"positive",26.1465590929256
"70",89.8289988584971,0.000309124410305171,"positive",24.4789358415766
"71",89.8432845695868,3.55559675127585e-09,"positive",26.6087366413469
"72",89.9545141614125,0.000142660932940578,"positive",26.3892971361448
"73",90.0084358813438,0.0358144234930154,"positive",218.909641128361
"74",90.0174812114057,0.446325738002964,"positive",48.4622885758549
"75",90.0370906569727,0.415640766789234,"positive",25.8191163019951
