"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","7.1049","0.60733","0.78919","0.13522","100","1","1","1","1","P45","EC000190;EC00078;EC00079;EC00080;EC00081;EC00082;EC000660"
"Fatty acid elongation","28","9","4","5.0749","0.62522","0.82899","0.14247","0","0","1","1","1","P46","EC000949;EC000798;EC000947;EC000251;EC000252"
"Phosphonate and phosphinate metabolism","4","2","1","3.045","0.6579","0.89112","0.15702","100","1","1","1","1","P47","EC0001148;EC0001149;EC0001150"
"Selenocompound metabolism","16","5","4","3.045","0.6579","0.89112","0.15702","0","0","1","1","1","P48","EC0001063;EC0001064;EC00029"
"Nitrogen metabolism","6","3","2","3.045","0.6579","0.89112","0.15702","100","1","1","1","1","P49","EC00019;EC00020;EC00057"
"Phenylalanine metabolism","8","8","8","11.672","0.66495","0.7995","0.1604","100","1","1","1","1","P50","EC000480;EC000481;EC00078;EC00079;EC00080;EC000955;EC000190;EC000877;EC000504;EC00081;EC00082"
"Vitamin B6 metabolism","9","9","7","9.6424","0.67957","0.82199","0.16771","100","1","1","1","1","P51","EC0001122;EC000489;EC000296;EC00010;EC000253;EC000255;EC000256;EC000457;EC000565"
"One carbon pool by folate","26","22","13","23.852","0.7266","0.81318","0.19444","0","0","1","1","1","P52","EC000381;EC000411;EC000183;EC00011;EC00017;EC000203;EC000322;EC000323;EC000325;EC00029;EC00060;EC00061;EC000774;EC000775;EC000776;EC000354;EC000220;EC000221;EC000223;EC000100;EC000101;EC000102"
"Drug metabolism - other enzymes","28","17","12","16.747","0.76172","0.85475","0.21826","0","0","1","1","1","P53","EC0001320;EC0001319;EC0001325;EC0001205;EC0001206;EC0001402;EC0001327;EC0001408;EC0001179;EC0001180;EC0001316;EC0001321;EC0001407;EC000257;EC000259"
"Fatty acid biosynthesis","9","7","5","9.1349","0.76296","0.88256","0.21918","100","1","1","1","1","P54","EC000251;EC000252;EC000194;EC0001138;EC000802;EC000804;EC0001135;EC0001136"
"Lysine degradation","21","14","11","19.285","0.79685","0.87529","0.2464","100","1","1","1","1","P55","EC00035;EC000413;EC000415;EC000416;EC000418;EC000815;EC000599;EC000600;EC00064;EC000304;EC0001338;EC000377;EC000378;EC000883;EC000664;EC000665;EC000684"
"Drug metabolism - cytochrome P450","43","30","24","25.882","0.80664","0.87314","0.25518","95","0.95","1","1","1","P56","EC000929;EC000930;EC0001181;EC0001301;EC0001303;EC0001171;EC0001332;EC0001281;EC0001287;EC0001288;EC0001284;EC0001285;EC0001286;EC0001182;EC0001310;EC0001312;EC0001292;EC0001035;EC0001036;EC0001306;EC000703;EC0001330;EC0001333"
"Folate biosynthesis","26","22","15","14.21","0.83186","0.90972","0.28012","0","0","1","1","1","P57","EC000381;EC000269;EC000562;EC0001094;EC000928;EC000164;EC000165;EC0001098;EC0001377;EC0001256;EC000276;EC000828"
"Steroid hormone biosynthesis","87","77","49","31.972","0.85142","0.90144","0.30216","0","0","1","1","1","P58","EC000207;EC000863;EC000977;EC000978;EC000745;EC000990;EC000988;EC000459;EC000903;EC000904;EC000452;EC000453;EC000656;EC000758;EC000531;EC000991;EC000992;EC000993;EC000994;EC000995;EC000592;EC000593;EC000953;EC000892;EC0001354;EC000996;EC0001353;EC0001194"
