"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pentose and glucuronate interconversions","18","18","16","20.081","0.39347","0.56412","0.072439","98","0.98","1","1","1","P30","EC000192;EC00022;EC00085;EC00086;EC00087;EC00088;EC000264;EC000265;EC000127;EC000128;EC000129;EC000131;EC000137;EC000138;EC000631;EC000632;EC000633;EC000212;EC000771;EC000772;EC000548"
"Valine, leucine and isoleucine biosynthesis","8","8","8","17.106","0.39704","0.58175","0.073123","100","1","1","1","1","P31","EC000208;EC000209;EC000235;EC000236;EC000237;EC000238;EC000141;EC000143;EC000144;EC000158;EC000160;EC000113;EC000114;EC000115;EC000116;EC000118;EC000203;EC000204"
"Pantothenate and CoA biosynthesis","18","15","14","31.238","0.41464","0.5511","0.076616","0","0","1","1","1","P32","EC000645;EC000560;EC000561;EC000569;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000203;EC000204;EC00037;EC00039;EC0007;EC000848;EC000850;EC000851;EC000852;EC000853;EC000100;EC000101;EC000102;EC00028;EC00029;EC000107;EC000108;EC000110;EC000158;EC000160;EC0006"
"Arginine and proline metabolism","35","33","30","50.575","0.44061","0.547","0.082126","100","1","1","1","1","P33","EC00053;EC00054;EC000475;EC000289;EC000290;EC000291;EC00073;EC00074;EC000647;EC000151;EC000298;EC000533;EC000322;EC000323;EC000324;EC000325;EC000376;EC000377;EC000378;EC000615;EC0001100;EC000739;EC000740;EC000741;EC000742;EC000397;EC000399;EC000169;EC000170;EC000171;EC000172;EC00019;EC00020;EC000834;EC0001103;EC000643;EC000644;EC000777;EC000778;EC000780;EC000781;EC000201;EC000573;EC000574;EC000575;EC000814;EC000815;EC000816;EC000859;EC000861;EC00018"
"alpha-Linolenic acid metabolism","12","5","3","7.4375","0.47715","0.73567","0.090674","0","0","1","1","1","P34","EC0001272;EC0001141;EC0001142;EC0001265;EC0001266;EC0001267;EC0001268;EC0001269"
"Selenocompound metabolism","16","5","4","4.4625","0.49568","0.80335","0.095402","0","0","1","1","1","P35","EC0001063;EC0001064;EC0001065;EC00028;EC00029"
"Mannose type O-glycan biosynthesis","3","3","3","4.4625","0.49568","0.80335","0.095402","0","0","1","1","1","P36","EC000548;EC00056;EC000631;EC000632;EC000633"
"Pentose phosphate pathway","23","23","23","37.931","0.49964","0.62071","0.096451","100","1","1","1","1","P37","EC00085;EC00086;EC00087;EC00088;EC000735;EC000523;EC000524;EC000127;EC000128;EC000129;EC000131;EC000137;EC000138;EC000121;EC000122;EC000965;EC000966;EC000967;EC000341;EC000330;EC000331;EC000332;EC000673;EC000674;EC000264;EC000265;EC000216;EC000218;EC000266;EC000753;EC000754;EC000755;EC000756;EC000132;EC000278;EC000213;EC000214;EC000215"
"Histidine metabolism","16","16","16","37.931","0.49964","0.62071","0.096451","100","1","1","1","1","P38","EC00019;EC00020;EC000866;EC000867;EC000868;EC000540;EC000542;EC000543;EC000152;EC000154;EC000366;EC000367;EC000368;EC000942;EC000939;EC0001071;EC0001074;EC000372;EC000373;EC000374;EC000650;EC000651;EC000652;EC000653;EC000626;EC000405;EC000407;EC000409;EC000573;EC000574;EC000575;EC000198;EC000200;EC0001076;EC0001077;EC0001078;EC00037;EC00039"
"Metabolism of xenobiotics by cytochrome P450","68","41","39","46.113","0.50792","0.61733","0.098686","0","0","1","1","1","P39","EC0001240;EC0001224;EC0001221;EC0001227;EC0001251;EC0001128;EC0001130;EC0001131;EC0001230;EC0001232;EC0001367;EC0001368;EC0001369;EC0001280;EC0001152;EC0001153;EC0001358;EC000558;EC0001223;EC0001242;EC0001243;EC0001245;EC0001253;EC0001252;EC0001239;EC0001246;EC0001247;EC0001228;EC0001248;EC000823;EC000824;EC000825;EC000680;EC000681;EC000683;EC0001370;EC0001371;EC0001364;EC0001365;EC0001366;EC0001204;EC0001373;EC0001362;EC0001363;EC0001359;EC0001361"
"Terpenoid backbone biosynthesis","14","7","6","12.644","0.51176","0.71225","0.099741","79","0.79","1","1","1","P40","EC000385;EC000386;EC000387;EC000388;EC000648;EC000649;EC000640;EC000641;EC000329;EC0001375;EC000844;EC000846;EC000847"
"Glycolysis or Gluconeogenesis","23","19","18","20.081","0.56746","0.72232","0.1167","100","1","1","1","1","P41","EC00064;EC00018;EC000206;EC00068;EC00069;EC00070;EC000213;EC000214;EC000215;EC000121;EC000122;EC000341;EC00085;EC00086;EC00087;EC00088;EC00024;EC00027;EC000240;EC000241"
"Starch and sucrose metabolism","12","12","12","11.9","0.57141","0.76433","0.11803","0","0","1","1","1","P42","EC00090;EC00091;EC00092;EC00093;EC00094;EC00024;EC00022;EC00085;EC00086;EC00087;EC00088;EC000341"
"Glycerolipid metabolism","7","6","6","8.9251","0.59828","0.80641","0.12759","100","1","1","1","1","P43","EC00095;EC00096;EC000206;EC000266;EC000121;EC000122;EC000213;EC000214;EC000215"
"Amino sugar and nucleotide sugar metabolism","39","38","36","43.882","0.60222","0.7061","0.12906","0","0","1","1","1","P44","EC000155;EC000156;EC000157;EC000348;EC000349;EC0001116;EC0001117;EC0001118;EC000274;EC00085;EC00086;EC00087;EC00088;EC00022;EC000192;EC000338;EC000339;EC000340;EC00098;EC00024;EC000306;EC000818;EC000819;EC000612;EC000613;EC000614;EC000840;EC000727;EC000729;EC000314;EC000315;EC000317;EC000280;EC000146;EC000147;EC000210;EC000211;EC000870;EC000871;EC000148;EC0001398;EC0001399;EC0001400"
"Vitamin B6 metabolism","9","9","9","14.131","0.60581","0.77734","0.13043","100","1","1","1","1","P45","EC0001121;EC0001122;EC000489;EC000511;EC000296;EC000297;EC00010;EC000253;EC000254;EC000255;EC000256;EC000457;EC0001119;EC000565"
