"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Ubiquinone Biosynthesis","10","8","3","5.741","0.81275","0.92655",NA,"100","1","1","1",NA,"P63","EC00032;EC00028;EC000208;EC000209"
"Alkaloid biosynthesis II","10","6","3","4.493","0.82116","0.94305",NA,"100","1","1","1",NA,"P64","EC00028;EC000867;EC0001594"
"Glycolysis and Gluconeogenesis","49","38","9","13.479","0.83241","0.90457",NA,"100","1","1","1",NA,"P65","EC00080;EC000560;EC000561;EC00028;EC00039;EC000791;EC000792;EC000793;EC000267;EC0001448"
"Glycosphingolipid biosynthesis - ganglioseries","62","19","6","7.2387","0.83369","0.92826",NA,"0","0","1","1",NA,"P66","EC00039;EC000435;EC0001466;EC00063;EC000178"
"Prostaglandin formation from dihomo gama-linoleic acid","11","6","1","3.2449","0.83855","0.96694",NA,"0","0","1","1",NA,"P67","EC000604;EC000606"
"Pentose and Glucuronate Interconversions","15","15","3","4.7426","0.8495","0.95419",NA,"90","0.9","1","1",NA,"P68","EC000148;EC000150;EC000301"
"Selenoamino acid metabolism","35","16","4","8.7363","0.85182","0.93188",NA,"0","0","1","1",NA,"P69","EC00028;EC00079;EC000134;EC000138;EC000253;EC000256"
"Leukotriene metabolism","92","42","14","17.473","0.85388","0.9119",NA,"0","0","1","1",NA,"P70","EC00028;EC000731;EC0001795;EC0001798;EC0001799;EC0001831;EC000262;EC000263;EC0001950;EC0001434;EC00057;EC0001926;EC0002022"
"Phosphatidylinositol phosphate metabolism","59","31","8","11.482","0.86594","0.93183",NA,"0","0","1","1",NA,"P71","EC00039;EC000858;EC000818;EC0002096;EC00063;EC000108;EC000288;EC000289"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","22","9","10.234","0.86762","0.93628",NA,"100","1","1","1",NA,"P72","EC000166;EC000301;EC0001001;EC00057;EC000948;EC00082;EC000444"
"Omega-6 fatty acid metabolism","55","13","2","4.9922","0.87386","0.96323",NA,"0","0","1","1",NA,"P73","EC00028;EC000262;EC000263"
"Mono-unsaturated fatty acid beta-oxidation","19","5","1","1.9969","0.87758","1",NA,"0","0","1","1",NA,"P74","EC00028"
"Caffeine metabolism","11","10","3","3.7441","0.89299","0.98048",NA,"100","1","1","1",NA,"P75","EC00039;EC000955"
"Carbon fixation","10","10","2","6.7394","0.90062","0.96607",NA,"100","1","1","1",NA,"P76","EC000148;EC000150;EC00052;EC00054"
"O-Glycan biosynthesis","16","6","1","2.2465","0.90591","1",NA,"0","0","1","1",NA,"P77","EC00063"
"Glyoxylate and Dicarboxylate Metabolism","12","7","2","4.2434","0.92996","0.98848",NA,"100","1","1","1",NA,"P78","EC000303;EC000219"
