m.z,p.value,mode,r.t
85.0285141787934,0.25989959068115887,positive,131.157372490902
85.0285250065169,0.5168108084045315,positive,215.460880776081
85.0285432865742,0.7263254631368271,positive,63.3462345354645
85.0478787101396,0.4931944848483712,positive,68.4608308969983
85.0649446100113,0.8704355398659772,positive,80.6447055695995
85.0842840002285,0.2664673432508427,positive,78.4080277507436
85.5156377779549,0.7200607932390264,positive,248.297144217177
85.5156776145565,0.8315841954903118,positive,112.985496371632
85.9632050889436,0.9599115815110895,positive,111.692150089951
86.0601613534253,0.9063535083819073,positive,216.990845612625
86.0601924977974,0.5199813983203724,positive,52.5658721369948
86.0967187659154,0.5728949397377797,positive,42.2289074816136
86.9087770707585,0.3270314647683621,positive,44.407522058068
87.0264328745922,0.7346184758849159,positive,46.4206189902313
87.0441796249684,0.9599861957217758,positive,193.100097585215
87.0441935078035,0.8231715081879407,positive,40.6625283250675
87.0552289840329,0.28384523511045384,positive,72.879675915629
87.0999109171601,0.5328635011085379,positive,42.6732762519734
88.0216593603317,0.6620559736366274,positive,222.826424074499
88.021679492938,0.8462868943274812,positive,45.9115672778341
88.0232760598122,0.9577420752679936,positive,113.38567197869
88.0394420519191,0.39395191640189525,positive,65.1718652300233
88.0579472058142,0.9033476476287018,positive,64.1171097091935
88.0758068403613,0.7990972858108492,positive,118.492015685037
88.5091968716259,0.9048572861721759,positive,221.393579125436
88.9527126739963,0.3634828766603937,positive,261.972616486356
88.9527381148858,0.8577874311527233,positive,111.650074941419
88.9931205111981,0.9744188756496904,positive,61.9235298638156
88.9931624657581,0.7440087932650636,positive,183.884827483235
89.0084281905117,0.8698618022120977,positive,247.680256659646
89.0426695192855,0.824211946548303,positive,188.279804900399
89.059782466347,0.9126666041435294,positive,27.2699582876527
89.0598271041968,0.9782023673366135,positive,195.862411400638
89.0791828931432,0.9221719950688312,positive,221.226846137721
89.5068805550707,0.8911768800133734,positive,218.480482749333
89.5068834437151,0.9150065179800279,positive,142.771134429762
90.0084358813438,0.81719923756835,positive,218.909641128361
90.0370906569727,0.7649752549640522,positive,25.8191163019951
90.0373364651131,0.30026961061011975,positive,228.463925177462
90.0506047112774,0.7913218326191352,positive,183.213405721256
90.0550893561864,0.5166074017502423,positive,55.1883242505111
90.0914273436708,0.7895169705469405,positive,39.6397498858195
90.5070999258436,0.6093226332430085,positive,120.606441518588
90.526249091866,0.7876568514714469,positive,111.485418796203
90.9478359583618,0.5851162198733714,positive,246.632256035377
90.9767730265194,0.16005386905852623,positive,52.8449323782396
91.0059774957103,0.9107862561721577,positive,240.276454122745
91.008753185658,0.9217118105197438,positive,240.707236870322
91.0240607022134,0.36780458056319615,positive,246.01727890036
91.0241709755353,0.854174128221993,positive,112.659101841398
91.0276838566224,0.8586138432966227,positive,227.805701168925
91.0291859212223,0.7401796355661364,positive,219.13670372409
91.0398611474264,0.9761869587046388,positive,46.3349333428459
91.0543639610406,0.4183793961327793,positive,42.2032748436132
91.0575017262129,0.88110764760482,positive,214.079484013245
91.0578211339504,0.8214180076959561,positive,26.6754285274501
91.5047909724878,0.8376209878877487,positive,246.010062721627
91.5240249446246,0.7094419169496684,positive,114.013464350738
91.5285473909615,0.9856881952628882,positive,117.754349205363
91.7850128432132,0.9472724223362279,positive,142.840598735754
92.0258634701484,0.8964989033386773,positive,117.963462191806
92.0370567612345,0.7154196472383182,positive,88.5907748761921
92.0577344400571,0.529704808661982,positive,52.7188292399974
92.0577427102227,0.9057456355679138,positive,214.089836623266
92.503595312261,0.9610240239472383,positive,238.945800506641
92.5224301203069,0.96094175803921,positive,235.248004678757
93.024150793680107,0.9903418999283023,positive,118.423833307425
93.0367925612933,0.8552511264209478,positive,221.25782888165
93.0404017577011,0.9429397755269389,positive,220.681107870555
93.0448789312848,0.2710256008612328,positive,74.0369442994321
93.0700373346759,0.34536612878554485,positive,182.840334063603
93.503984086186,0.9257648096745148,positive,265.294459031546
93.9842487416332,0.43182064247590257,positive,111.494510910167
94.0056280204127,0.9649009919885726,positive,102.22846919109
94.0401222029414,0.5942007891339064,positive,207.644944850535
94.0401354092471,0.9057020089991967,positive,18.7197781628851
94.0452305922027,0.3947346868664842,positive,89.2939041186753
94.0652783406837,0.7418547151321297,positive,63.0727807011016
94.0733394661591,0.6431367507855899,positive,210.284638131896
94.5024255139403,0.6196945536387419,positive,257.686620720901
94.5209682477233,0.35209758333284913,positive,112.974881374627
94.5437894628883,0.9849964599599816,positive,93.2003578658633
94.5461946354526,0.3903132673388976,positive,86.6243041349176
95.0030779861009,0.9524333279376787,positive,119.87693998163
95.0128950518737,0.8719450290434856,positive,57.7157659432074
95.0241373112555,0.9089997224851801,positive,48.4931583915686
95.0439931761033,0.3900552970070155,positive,89.2525875979151
95.0492948260459,0.3211001334778049,positive,51.4947083209591
95.060509228891,0.34106258202722384,positive,66.3420799963137
95.0856333597599,0.8140829921567658,positive,24.5916789206174
95.0856614477311,0.5792098391430058,positive,81.1552978641774
95.5018498765769,0.9467442942707045,positive,239.465170588177
95.5456846684962,0.4646706610804005,positive,90.9825963909536
96.0081433145336,0.02158092528871803,positive,27.3477482118739
96.0081509228169,0.9782000213511978,positive,192.543231793944
96.0445289623407,0.4969990159797709,positive,68.0234026576902
96.0445401186402,0.9849964599599816,positive,159.561827125535
96.0526316842898,0.9065195115123029,positive,219.972274086165
96.0526491870046,0.7440087932650636,positive,22.2133688368507
96.0557633142723,0.9268346679202494,positive,123.166505660789
96.0638961114612,0.5574227687460975,positive,72.9327512175958
96.0809210320329,0.8044461171851351,positive,220.760699595395
96.0809309321191,0.8686469106534622,positive,23.9624086525238
96.0890096528156,0.49076841980030866,positive,19.5648471672861
96.961033882609,0.8411943281113377,positive,260.534152471798
97.0010222364668,0.3486722998762946,positive,92.8408259790323
97.0285015163114,0.81719923756835,positive,255.5478717583
97.0397724428499,0.9232060393438334,positive,87.7493599518534
97.0478554470159,0.9754550917826067,positive,225.942554855196
97.064917707104,0.8379639096553639,positive,58.7226470641281
97.0761728389349,0.873721205668822,positive,206.621637391298
97.0761733110177,0.23919198838511752,positive,69.2439035606773
97.1012868626841,0.7804190800871817,positive,22.8194510002974
97.1013082240666,0.7807801160844641,positive,210.900444907454
97.5338741772194,0.8473218729497513,positive,113.084547998386
97.991470009054,0.7662406361042617,positive,111.614896697494
98.0137008574978,0.4632981665255964,positive,231.178427283165
98.0237564469426,0.9140638568394992,positive,224.393254225176
