"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glyoxylate and dicarboxylate metabolism","31","15","15","23.597","0.013247","0.053167","0.027457","100","1","0.914043","1","1","P1","EC000194;EC000382;EC000383;EC000384;EC000643;EC000644;EC00027;EC000173;EC000174;EC000603;EC000604;EC000605;EC000606;EC00060;EC00061;EC00062;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
"Taurine and hypotaurine metabolism","8","6","6","13.019","0.029159","0.14375","0.02853","100","1","1","1","1","P2","EC000446;EC000447;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Amino sugar and nucleotide sugar metabolism","39","38","38","48.009","0.036249","0.076214","0.029022","0","0","1","1","1","P3","EC000155;EC000156;EC000157;EC000348;EC000349;EC00033;EC0001116;EC0001117;EC0001118;EC000272;EC000273;EC000275;EC00085;EC00086;EC00087;EC00088;EC00089;EC00022;EC000192;EC000338;EC000339;EC000340;EC00099;EC00023;EC00024;EC000306;EC000817;EC000818;EC000819;EC000612;EC000613;EC000614;EC000840;EC000841;EC000729;EC000314;EC000315;EC000316;EC000317;EC000280;EC0001385;EC000281;EC000146;EC000147;EC000210;EC000211;EC000869;EC000870;EC000871;EC000148;EC0001398;EC0001399;EC0001400"
"Arginine biosynthesis","14","12","12","22.784","0.063635","0.16417","0.031013","100","1","1","1","1","P4","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000488;EC000139;EC000140"
"Glutathione metabolism","19","13","13","22.784","0.063635","0.16417","0.031013","100","1","1","1","1","P5","EC00040;EC00041;EC00042;EC0004;EC000145;EC000515;EC000516;EC000517;EC000518;EC000100;EC000101;EC000102;EC00019;EC00020;EC000701;EC000739;EC000740;EC000741;EC000742;EC00073;EC00074;EC000151;EC000298;EC000533;EC0001289;EC0001290"
"Folate biosynthesis","26","22","22","22.784","0.063635","0.16417","0.031013","0","0","1","1","1","P6","EC000381;EC000269;EC000270;EC000271;EC000562;EC0001096;EC0001094;EC0001095;EC00034;EC000580;EC000581;EC000928;EC000164;EC000165;EC000166;EC0001097;EC0001098;EC0001377;EC0001256;EC0001257;EC000276;EC000277;EC000828;EC0001378;EC0001379;EC0001401"
"Primary bile acid biosynthesis","46","32","32","36.617","0.094153","0.18167","0.033406","0","0","1","1","1","P7","EC000207;EC000863;EC000864;EC000725;EC000726;EC000709;EC000710;EC000711;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000694;EC000695;EC000696;EC0001343;EC0001345;EC000525;EC000526;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001348;EC000743;EC000744"
"Histidine metabolism","16","16","16","41.499","0.096414","0.17779","0.033591","100","1","1","1","1","P8","EC00019;EC00020;EC000866;EC000867;EC000868;EC000540;EC000541;EC000542;EC000543;EC000152;EC000154;EC000366;EC000367;EC000368;EC000941;EC000942;EC000939;EC0001070;EC0001071;EC0001072;EC0001073;EC0001074;EC000372;EC000373;EC000374;EC000650;EC000651;EC000653;EC000626;EC000405;EC000406;EC000407;EC000408;EC000409;EC000573;EC000574;EC000575;EC000199;EC000200;EC0001075;EC0001076;EC0001077;EC0001078;EC00037;EC00039"
"Pyruvate metabolism","20","12","11","14.647","0.10254","0.27699","0.034099","100","1","1","1","1","P9","EC00027;EC00068;EC00069;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"Lysine degradation","21","14","14","30.921","0.1028","0.2058","0.03412","100","1","1","1","1","P10","EC00035;EC00036;EC000413;EC000414;EC000415;EC000416;EC000417;EC000418;EC000813;EC000814;EC000815;EC000816;EC000599;EC000600;EC000601;EC00064;EC000304;EC000305;EC0001422;EC0001336;EC0001337;EC0001338;EC0001339;EC000835;EC000376;EC000377;EC000378;EC000882;EC000883;EC000664;EC000665;EC000419;EC000421;EC000684"
