Clade,T,n,pct
Clade_1,1,6,17.647058823529413
Clade_1,2,6,17.647058823529413
Clade_1,3,18,52.94117647058823
Clade_1,4,4,11.764705882352942
Clade_2,1,10,47.61904761904762
Clade_2,2,6,28.571428571428573
Clade_2,3,5,23.80952380952381
