"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glyoxylate and dicarboxylate metabolism","31","15","15","23.266","0.0093051","0.039624","0.027389","100","1","0.6420519","1","1","P1","EC000193;EC000194;EC000382;EC000383;EC000384;EC000643;EC000644;EC00027;EC000173;EC000174;EC000604;EC000605;EC000606;EC00060;EC00061;EC00062;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
"D-Amino acid metabolism","15","15","15","27.278","0.01632","0.052786","0.027855","100","1","1","1","1","P2","EC00057;EC00058;EC00059;EC00019;EC00020;EC00037;EC00039;EC00060;EC00061;EC00062;EC00063;EC00053;EC00054;EC00073;EC00074;EC000169;EC000170;EC000171;EC000172;EC000397;EC000398;EC000399;EC000739;EC000740;EC000741;EC000742;EC00027;EC000880;EC000881;EC000859;EC000860;EC000861"
"Taurine and hypotaurine metabolism","8","6","6","12.837","0.023222","0.12107","0.028321","100","1","1","1","1","P3","EC000446;EC000447;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Arginine and proline metabolism","35","33","33","54.555","0.035436","0.0695","0.029166","100","1","1","1","1","P4","EC00053;EC00054;EC000475;EC000289;EC000290;EC000291;EC00073;EC00074;EC000647;EC000151;EC000298;EC00011;EC000533;EC000462;EC000322;EC000323;EC000324;EC000325;EC000810;EC000376;EC000377;EC000378;EC000615;EC000616;EC000618;EC0001099;EC0001100;EC000739;EC000740;EC000741;EC000742;EC000397;EC000398;EC000399;EC000169;EC000170;EC000171;EC000172;EC00019;EC00020;EC000834;EC0001101;EC0001102;EC0001103;EC000643;EC000644;EC000777;EC000780;EC000781;EC000201;EC000573;EC000574;EC000575;EC000814;EC000815;EC000816;EC000859;EC000860;EC000861;EC00018"
"Arginine biosynthesis","14","12","12","22.464","0.048115","0.13124","0.030073","100","1","1","1","1","P5","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000488;EC000139;EC000140"
"Amino sugar and nucleotide sugar metabolism","39","38","38","47.335","0.051925","0.1008","0.030351","0","0","1","1","1","P6","EC000155;EC000156;EC000157;EC000348;EC000349;EC00033;EC0001116;EC0001117;EC0001118;EC000272;EC000273;EC000274;EC000275;EC00085;EC00086;EC00087;EC00088;EC00022;EC000192;EC000338;EC000339;EC000340;EC00099;EC00023;EC00024;EC000306;EC000817;EC000818;EC000819;EC000612;EC000613;EC000614;EC000840;EC000841;EC000727;EC000729;EC000314;EC000315;EC000316;EC000317;EC000280;EC000281;EC000146;EC000210;EC000211;EC000869;EC000870;EC000871;EC000148;EC0001398;EC0001399;EC0001400"
"Primary bile acid biosynthesis","46","32","32","36.103","0.067237","0.13713","0.031498","0","0","1","1","1","P7","EC000207;EC000863;EC000864;EC000725;EC000726;EC000709;EC000710;EC000711;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000694;EC000695;EC000696;EC0001343;EC0001345;EC000525;EC000526;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001348;EC000743;EC000744"
"Vitamin B6 metabolism","9","9","9","15.243","0.069412","0.20642","0.031664","9","0.09","1","1","1","P8","EC0001121;EC0001122;EC000489;EC000511;EC000296;EC000297;EC00010;EC000253;EC000254;EC000255;EC000256;EC000456;EC000457;EC000458;EC0001119;EC0001120;EC000565;EC000566"
"Cysteine and methionine metabolism","33","30","29","58.567","0.076962","0.13105","0.03225","100","1","1","1","1","P9","EC000662;EC000663;EC0001258;EC000197;EC000647;EC00011;EC000774;EC000775;EC000776;EC000183;EC00060;EC00061;EC00062;EC00063;EC00065;EC00067;EC00017;EC0001260;EC000446;EC000447;EC000434;EC000435;EC000436;EC000437;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC0001209;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000324;EC000325;EC000113;EC000114;EC000115;EC000116;EC000118;EC000607;EC000608;EC000609;EC000610;EC000831;EC0001187;EC000765;EC000766;EC000746;EC000747;EC0001004;EC00018;EC0001067;EC0001068;EC0001069;EC0001389;EC0001390;EC000213;EC000214;EC000215"
"Pyruvate metabolism","20","12","11","14.441","0.084055","0.23931","0.032812","100","1","1","1","1","P10","EC00027;EC00068;EC00069;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"Retinol metabolism","16","16","16","12.837","0.12239","0.3176","0.036034","0","0","1","1","1","P11","EC000425;EC000426;EC000359;EC000360;EC000757;EC000535;EC000536;EC000537;EC0001254;EC0001255;EC000797;EC0001334;EC0001335;EC0001191;EC0001192"
