"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Primary bile acid biosynthesis","46","32","32","36.745","0.0037375","0.014447","0.0267","0","0","0.2578875","0.996843","1","P1","EC000207;EC000863;EC000864;EC000725;EC000726;EC000709;EC000710;EC000711;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000980;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000982;EC000694;EC000695;EC000696;EC0001343;EC0001345;EC000525;EC000526;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001347;EC0001348;EC000743;EC000744"
"Glyoxylate and dicarboxylate metabolism","31","15","15","23.68","0.014451","0.057134","0.027398","100","1","0.982668","1","1","P2","EC000193;EC000194;EC000383;EC000384;EC000643;EC000644;EC00027;EC000173;EC000174;EC000603;EC000604;EC000605;EC000606;EC00060;EC00061;EC00062;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
"Amino sugar and nucleotide sugar metabolism","39","38","38","48.177","0.016255","0.039469","0.027517","0","0","1","1","1","P3","EC000155;EC000156;EC000157;EC000348;EC000349;EC00033;EC0001116;EC0001117;EC0001118;EC000272;EC000273;EC000275;EC00085;EC00086;EC00087;EC00088;EC00089;EC00022;EC000192;EC000338;EC000339;EC000340;EC00098;EC00099;EC00023;EC00024;EC00025;EC000306;EC000818;EC000819;EC000612;EC000613;EC000614;EC000840;EC000841;EC000729;EC000314;EC000315;EC000316;EC000317;EC000280;EC0001385;EC000281;EC000146;EC000147;EC000210;EC000211;EC000869;EC000870;EC000871;EC000148;EC0001398;EC0001399;EC0001400"
"Taurine and hypotaurine metabolism","8","6","6","13.065","0.030851","0.14994","0.028504","100","1","1","1","1","P4","EC000446;EC000447;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Arginine biosynthesis","14","12","12","22.864","0.068141","0.17333","0.031201","100","1","1","1","1","P5","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000488;EC000139;EC000140"
"Cysteine and methionine metabolism","33","30","29","59.609","0.072188","0.1262","0.03151","100","1","1","1","1","P6","EC000662;EC000663;EC0001258;EC000197;EC000647;EC00011;EC000774;EC000775;EC000776;EC000183;EC000184;EC00060;EC00061;EC00062;EC00063;EC00065;EC00066;EC00067;EC00017;EC0001260;EC000446;EC000447;EC000434;EC000435;EC000436;EC000437;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC0001209;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000324;EC000325;EC000113;EC000114;EC000115;EC000116;EC000118;EC000607;EC000608;EC000610;EC000831;EC000765;EC000766;EC0001005;EC000746;EC000747;EC0001004;EC00018;EC0001067;EC0001068;EC0001069;EC0001389;EC0001390;EC000213;EC000214;EC000215"
"Drug metabolism - cytochrome P450","43","30","29","41.645","0.1051","0.19112","0.034149","0","0","1","1","1","P7","EC000929;EC000930;EC0001181;EC0001313;EC0001314;EC0001315;EC0001294;EC0001295;EC0001296;EC0001297;EC0001300;EC0001301;EC0001302;EC0001303;EC0001304;EC0001170;EC0001171;EC0001332;EC0001281;EC0001282;EC0001287;EC0001288;EC0001284;EC0001285;EC0001286;EC0001182;EC0001183;EC0001184;EC0001185;EC0001310;EC0001312;EC0001291;EC0001292;EC0001293;EC0001035;EC0001036;EC0001037;EC0001305;EC0001306;EC000703;EC000704;EC0001308;EC0001309;EC0001330;EC0001333"
"Pyruvate metabolism","20","12","11","14.698","0.10768","0.28702","0.034365","100","1","1","1","1","P8","EC00027;EC00068;EC00069;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"Lysine degradation","21","14","14","31.029","0.11055","0.21828","0.034608","100","1","1","1","1","P9","EC00035;EC00036;EC000413;EC000414;EC000415;EC000416;EC000417;EC000418;EC000813;EC000814;EC000815;EC000816;EC000599;EC000600;EC000601;EC00064;EC000304;EC000305;EC0001422;EC0001336;EC0001337;EC0001338;EC0001339;EC000835;EC000376;EC000377;EC000378;EC000882;EC000883;EC000664;EC000665;EC000419;EC000421;EC000684"
"Riboflavin metabolism","4","4","4","8.1656","0.1143","0.39005","0.034928","0","0","1","1","1","P10","EC000260;EC000261;EC000262;EC000263;EC00049;EC00050;EC00051;EC00052;EC0009;EC000611"
