"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"beta-Alanine metabolism","21","14","14","23.861","0.12224","0.22375","0.036239","100","1","1","1","1","P11","EC000206;EC00018;EC00028;EC00029;EC00037;EC00039;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000366;EC000367;EC000368;EC000573;EC000574;EC000575;EC000533;EC000958;EC000107;EC000108;EC000960;EC000152;EC000154;EC000298"
"Propanoate metabolism","19","10","10","14.461","0.13065","0.27552","0.036993","0","0","1","1","1","P12","EC000113;EC000114;EC000115;EC000116;EC000118;EC0001114;EC0001115;EC00030;EC00032;EC00028;EC00029;EC00018;EC000636;EC000637;EC00064;EC0001392;EC000206"
"Nitrogen metabolism","6","3","3","4.3383","0.13124","0.44763","0.037047","100","1","1","1","1","P13","EC00019;EC00020;EC000195;EC00057;EC00058;EC00059"
"Alanine, aspartate and glutamate metabolism","28","27","26","49.168","0.13541","0.20362","0.037428","100","1","1","1","1","P14","EC000621;EC000623;EC000624;EC00037;EC00039;EC000175;EC000176;EC000177;EC000836;EC000837;EC000838;EC000839;EC000884;EC00028;EC00029;EC000113;EC000114;EC000115;EC000116;EC000118;EC00019;EC00020;EC000322;EC000323;EC000324;EC000325;EC00057;EC00058;EC00059;EC000588;EC000589;EC000859;EC000861;EC0001216;EC0001217;EC0001383;EC000188;EC00027;EC000139;EC00018;EC000402;EC000403;EC000404;EC00030;EC00032;EC00021;EC000195;EC000338;EC000339;EC000340;EC000827;EC0001380;EC0001381"
"Arachidonic acid metabolism","43","43","43","28.922","0.14566","0.24402","0.038384","0","0","1","1","1","P15","EC000920;EC000921;EC000922;EC000923;EC000228;EC000229;EC000230;EC000760;EC000761;EC000762;EC0001112;EC0001113;EC000576;EC000577;EC000578;EC000579;EC000763;EC000390;EC000391;EC000392;EC000499;EC000500;EC000501;EC000502;EC000909;EC000910;EC0001225;EC0001226;EC0001107;EC0001108;EC0001104;EC0001105"
"Vitamin B6 metabolism","9","9","9","13.738","0.16009","0.32295","0.039773","100","1","1","1","1","P16","EC0001121;EC0001122;EC000489;EC000511;EC000296;EC000297;EC00010;EC000253;EC000254;EC000255;EC000256;EC000456;EC000457;EC0001119;EC000565;EC000566"
"Cysteine and methionine metabolism","33","30","25","52.783","0.18225","0.25881","0.042017","100","1","1","1","1","P17","EC000662;EC0001258;EC000647;EC00011;EC000774;EC000776;EC000183;EC000184;EC00060;EC00061;EC00062;EC00063;EC00065;EC00067;EC00017;EC000446;EC000447;EC000434;EC000435;EC000436;EC000437;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC0001209;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000324;EC000325;EC000113;EC000114;EC000115;EC000116;EC000118;EC000607;EC000608;EC000610;EC000765;EC000766;EC000746;EC000747;EC0001004;EC00018;EC0001067;EC0001069;EC0001389;EC0001390;EC000213;EC000214;EC000215"
"Thiamine metabolism","5","3","3","3.6153","0.18424","0.55434","0.042224","99","0.99","1","1","1","P18","EC000100;EC000101;EC000102;EC000826;EC00064"
"Lysine degradation","21","14","13","27.476","0.19398","0.30991","0.04326","100","1","1","1","1","P19","EC00035;EC00036;EC000413;EC000414;EC000415;EC000416;EC000417;EC000418;EC000813;EC000814;EC000815;EC000816;EC000599;EC000600;EC00064;EC000304;EC000305;EC0001337;EC0001338;EC0001339;EC000835;EC000377;EC000378;EC000882;EC000883;EC000664;EC000665;EC000419;EC000421;EC000684"
"Pyruvate metabolism","20","12","11","13.015","0.19489","0.37551","0.043357","100","1","1","1","1","P20","EC00027;EC00068;EC00069;EC00070;EC000843;EC000206;EC00018;EC000173;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139"
