"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Drug metabolism - cytochrome P450","53","35","34","47.465","0.063151","0.11711","0.0081862","0","0","1","1","0.7595011","P22","EC0001704;EC0001705;EC0001505;EC0001721;EC0001228;EC0001229;EC0001532;EC0001512;EC0001513;EC0001534;EC0001535;EC0001536;EC0001717;EC0001718;EC0001351;EC0001352;EC0001353;EC0001712;EC0001713;EC0001714;EC0001715;EC0001716;EC0001522;EC000874;EC000875;EC0001537;EC0001514;EC0001533;EC0001699;EC0001700;EC0001696;EC0001697;EC0001698;EC0001523;EC0001524;EC0001526;EC0001527;EC0001693;EC0001694;EC0001723;EC0001724;EC0001739;EC0001510;EC0001511;EC0001706;EC0001707;EC0001708;EC0001709;EC0001722"
"Squalene and cholesterol biosynthesis","55","33","32","29.145","0.066437","0.14516","0.0082665","0","0","1","1","0.7595011","P23","EC000925;EC000374;EC000375;EC000576;EC0007;EC0008;EC000238;EC000780;EC000781;EC0001234;EC0001231;EC0001232;EC0001233;EC000446;EC000447;EC000448;EC000449;EC0001098;EC000795;EC000796;EC0001176;EC00022;EC00024;EC000769;EC000413;EC000134;EC000135;EC000136;EC000137;EC000139;EC0002015"
"Hyaluronan Metabolism","8","6","6","8.3273","0.071858","0.2877","0.0084008","0","0","1","1","0.7595011","P24","EC00023;EC000527;EC000528;EC000529;EC000176;EC000177;EC000178;EC00048;EC000217;EC000243"
"Prostaglandin formation from arachidonate","78","54","51","50.796","0.073761","0.13058","0.0084485","0","0","1","1","0.7595011","P25","EC000444;EC000445;EC0001968;EC000451;EC000452;EC000453;EC000454;EC0001437;EC0001438;EC000731;EC000732;EC000733;EC0001760;EC0001604;EC0001605;EC0001606;EC0001750;EC0001751;EC0001752;EC0001913;EC0001914;EC0001831;EC0001832;EC0001444;EC000604;EC000605;EC000606;EC000607;EC000608;EC0001916;EC0001917;EC000761;EC00055;EC00056;EC00057;EC000261;EC000262;EC000263;EC00028;EC00030;EC00022;EC0001440;EC0001442;EC0001443;EC00082;EC0001926;EC0001579;EC0001953;EC0001892;EC0001893;EC0001973;EC0001974"
"Leukotriene metabolism","92","42","38","58.291","0.085136","0.14183","0.0087397","0","0","1","1","0.7595011","P26","EC00028;EC00030;EC0002020;EC0001916;EC0001917;EC0001915;EC0001760;EC000731;EC000732;EC000733;EC0001795;EC0001796;EC0001797;EC0001798;EC0001799;EC0001792;EC0001793;EC0001794;EC0001831;EC0001832;EC00022;EC000261;EC000262;EC000263;EC00035;EC00034;EC0001927;EC0001928;EC000451;EC000452;EC000453;EC000454;EC0001750;EC0001751;EC0001752;EC0002010;EC0002011;EC0002013;EC0001935;EC0001807;EC000701;EC000702;EC000703;EC000704;EC000966;EC0001949;EC0001950;EC0001433;EC0001434;EC0001953;EC0002023;EC0002024;EC00055;EC00056;EC00057;EC0002026;EC0001926;EC0002021;EC0002022"
"O-Glycan biosynthesis","16","6","6","7.4945","0.093565","0.34651","0.0089625","0","0","1","1","0.7595011","P27","EC00023;EC000167;EC000168;EC00048;EC00060;EC00061;EC00062;EC00063;EC00037"
"Glutathione Metabolism","19","10","10","21.651","0.11597","0.24574","0.0095847","100","1","1","1","0.7955301","P28","EC000934;EC000936;EC000937;EC00034;EC00035;EC000166;EC000869;EC0001129;EC0001130;EC0001131;EC00043;EC00044;EC0001702;EC00055;EC00056;EC00057;EC000620;EC000621;EC000622;EC000623;EC000121;EC000122;EC000123"
"Aminosugars metabolism","69","34","32","51.629","0.11878","0.1934","0.0096658","0","0","1","1","0.7955301","P29","EC00034;EC00035;EC000125;EC000360;EC000361;EC000363;EC00033;EC000167;EC000168;EC000176;EC000177;EC000178;EC00073;EC00074;EC00075;EC000103;EC000104;EC000105;EC000106;EC000107;EC000395;EC000394;EC0001380;EC000311;EC000312;EC00060;EC00061;EC00062;EC00063;EC00072;EC0001224;EC00022;EC00023;EC000384;EC000385;EC000386;EC00086;EC00087;EC00088;EC00090;EC0001448;EC0001449;EC0001450;EC00048;EC0001124;EC0001125;EC0001126;EC0001091;EC0001092;EC000584;EC000585;EC000586"
"Phosphatidylinositol phosphate metabolism","59","31","29","38.305","0.13242","0.22795","0.010071","0","0","1","1","0.815751","P30","EC00039;EC00040;EC000856;EC000858;EC00023;EC000818;EC000819;EC0001162;EC0001164;EC000387;EC000388;EC000853;EC0002096;EC00060;EC00061;EC00062;EC00063;EC000833;EC000834;EC000835;EC000103;EC000104;EC000105;EC000106;EC000107;EC000243;EC00022;EC00038;EC000108;EC000109;EC000111;EC000112;EC000288;EC000289;EC00048;EC0001661;EC0001662;EC0001663;EC0002085"
"Glycosphingolipid biosynthesis - ganglioseries","62","19","17","24.149","0.16482","0.30581","0.011109","0","0","1","1","0.88872","P31","EC00039;EC00040;EC000167;EC000168;EC00041;EC000435;EC000436;EC0001466;EC0001467;EC00059;EC00060;EC00061;EC00062;EC00063;EC0001465;EC00037;EC00023;EC000352;EC0001033;EC000178;EC000176;EC000177;EC000599;EC0001470;EC00048"
