"","m.z","p.value","mode","r.t"
"1",85.010801981515,0.491368501048651,"positive",43.1204634623064
"2",85.0285141787934,0.807891087890599,"positive",131.157372490902
"3",85.0285250065169,0.0544747190834702,"positive",215.460880776081
"4",85.0285432865742,0.111127838651992,"positive",63.3462345354645
"5",85.0478787101396,0.0437356445994199,"positive",68.4608308969983
"6",85.0520134874861,0.0228115245855488,"positive",71.1763683492488
"7",85.0649446100113,0.828493212846452,"positive",80.6447055695995
"8",85.0842840002285,0.0367089691176322,"positive",78.4080277507436
"9",85.0886992163423,0.331239306286432,"positive",266.031149010502
"10",85.3262862671651,0.133787383200136,"positive",24.5010199547904
"11",85.5156377779549,0.413494306332995,"positive",248.297144217177
"12",85.5156776145565,0.0473058812325461,"positive",112.985496371632
"13",85.6372544908564,0.0191944447259973,"positive",284.830322626393
"14",85.9632050889436,0.780177266151741,"positive",111.692150089951
"15",86.0601613534253,0.889412714987226,"positive",216.990845612625
"16",86.0601924977974,0.158866903519862,"positive",52.5658721369948
"17",86.0713898324376,1,"positive",32.6231144181901
"18",86.0967187659154,0.134207582237479,"positive",42.2289074816136
"19",86.7168942277875,0.0621686322108028,"positive",49.6932593158184
"20",86.7192555741156,0.278816613302232,"positive",27.4677045404104
"21",86.7286190113102,0.430089583968458,"positive",26.6182339584986
"22",86.7749877205451,0.157795031947914,"positive",28.3827768037465
"23",86.9087770707585,0.0527527162694679,"positive",44.407522058068
"24",86.9387121178465,1,"positive",49.6633109248194
"25",86.9526993834988,0.0443112701570553,"positive",26.9137311305001
"26",86.9558978173278,0.235158114402563,"positive",113.868148903441
"27",86.9641511110962,0.20986251468273,"positive",113.684658860274
"28",87.0264328745922,0.479247563271528,"positive",46.4206189902313
"29",87.0441796249684,0.116079595816747,"positive",193.100097585215
"30",87.0441935078035,0.0376381625519992,"positive",40.6625283250675
"31",87.0552289840329,0.099326292385115,"positive",72.879675915629
"32",87.0640739876924,0.351143932809727,"positive",28.838397923089
"33",87.0788411672617,0.188371209796064,"positive",72.4731411011194
"34",87.0936116834336,0.0191595396093925,"positive",42.8737964939609
"35",87.0999109171601,0.113986922825837,"positive",42.6732762519734
"36",87.1028623914827,0.0140704422810896,"positive",43.7135671772522
"37",87.160951166866,0.0657266437702241,"positive",44.9038787711012
"38",87.1766161501555,0.224558133630719,"positive",27.2156026903634
"39",87.2880933992656,0.395171847901001,"positive",27.2821318448422
"40",87.4006165598694,0.516300695115754,"positive",28.1225551873599
"41",87.5120293897779,0.145617938928411,"positive",27.5879401830185
"42",88.0216593603317,0.642371064054752,"positive",222.826424074499
"43",88.021679492938,0.0707999042912962,"positive",45.9115672778341
"44",88.0232760598122,0.0989304015650392,"positive",113.38567197869
"45",88.0394420519191,0.0302775781701295,"positive",65.1718652300233
"46",88.0475389274924,0.228976989647075,"positive",232.066235830148
"47",88.0579472058142,0.487773968776844,"positive",64.1171097091935
"48",88.0758068403613,0.00333191922288617,"positive",118.492015685037
