"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Arachidonic acid metabolism","43","43","37","11.592","0.34551","0.47738","0.070212","0","0","1","1","1","P30","EC000922;EC000228;EC000230;EC000760;EC000761;EC000576;EC000577;EC000764;EC000390;EC000499;EC000501;EC000909;EC0001104"
"Terpenoid backbone biosynthesis","14","7","4","4.9265","0.35287","0.5594","0.071528","13","0.13","1","1","1","P31","EC000385;EC000386;EC000387;EC000648;EC000640;EC000846"
"Glycine, serine and threonine metabolism","30","22","14","16.518","0.35323","0.46318","0.071593","100","1","1","1","1","P32","EC00060;EC00063;EC000203;EC000322;EC000323;EC000607;EC000608;EC000161;EC000209;EC000266;EC000290;EC000831;EC000100;EC000101;EC000114;EC000854;EC000856;EC000397"
"Glycolysis or Gluconeogenesis","23","19","12","7.8244","0.35899","0.52232","0.072647","100","1","1","1","1","P33","EC00064;EC00068;EC000122;EC000341;EC00085;EC00086;EC00087;EC00024;EC00027"
"Pentose and glucuronate interconversions","18","18","11","7.8244","0.35899","0.52232","0.072647","95","0.95","1","1","1","P34","EC00085;EC00086;EC00087;EC000127;EC000129;EC000138;EC000212;EC000771;EC000772"
"Lysine degradation","21","14","10","11.012","0.39968","0.53907","0.080598","100","1","1","1","1","P35","EC00035;EC000415;EC000599;EC000600;EC00064;EC000302;EC000303;EC0001338;EC000377;EC000883;EC000664;EC000684"
"Amino sugar and nucleotide sugar metabolism","39","38","24","17.098","0.41911","0.53066","0.084744","0","0","1","1","1","P36","EC000155;EC000157;EC000348;EC000349;EC0001116;EC00085;EC00086;EC00087;EC000338;EC000339;EC00024;EC000818;EC000612;EC000613;EC000314;EC000317;EC000280;EC000148"
"Citrate cycle (TCA cycle)","16","14","8","6.3754","0.44724","0.63216","0.091189","100","1","1","1","1","P37","EC00064;EC00032;EC000962;EC000188;EC00027;EC000383;EC00068"
"Steroid biosynthesis","40","33","16","7.5346","0.47624","0.64574","0.098439","0","0","1","1","1","P38","EC000654;EC000207;EC000933;EC000725;EC000842;EC0001409;EC000937;EC0001343"
"Caffeine metabolism","10","10","4","3.7673","0.53518","0.76465","0.11537","100","1","1","1","1","P39","EC00024;EC0001167;EC0001278;EC0001279"
"Biosynthesis of unsaturated fatty acids","36","22","8","10.143","0.56604","0.70634","0.12562","0","0","1","1","1","P40","EC000529;EC000530;EC000721;EC000228;EC000230;EC000833;EC0001141;EC0001142;EC0001146;EC0001143"
"Folate biosynthesis","26","22","11","8.1142","0.57321","0.72861","0.12816","0","0","1","1","1","P41","EC000381;EC000269;EC000562;EC000928;EC000164;EC000165;EC0001377;EC0001256"
"Linoleic acid metabolism","4","4","3","4.0571","0.6014","0.8098","0.13876","0","0","1","1","1","P42","EC000721;EC0001235;EC0001236;EC0001237"
"One carbon pool by folate","26","22","10","13.62","0.61304","0.72956","0.14346","0","0","1","1","1","P43","EC000381;EC000411;EC000161;EC000514;EC00017;EC000203;EC000322;EC000323;EC00060;EC00063;EC000223;EC000100;EC000101"
"Pyruvate metabolism","20","12","5","5.2163","0.61942","0.8015","0.14611","100","1","1","1","1","P44","EC00027;EC00068;EC0001116;EC00064;EC000234"
"Glycerolipid metabolism","7","6","3","3.4775","0.71301","0.89803","0.19337","100","1","1","1","1","P45","EC00096;EC000266;EC000122"
"Taurine and hypotaurine metabolism","8","6","3","4.6367","0.71528","0.87839","0.19475","100","1","1","1","1","P46","EC000446;EC000100;EC000101;EC000483"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4","3","1","2.3183","0.71658","0.93239","0.19555","100","1","1","1","1","P47","EC000334;EC000335"
"Cysteine and methionine metabolism","33","30","14","21.155","0.73236","0.81054","0.20556","100","1","1","1","1","P48","EC00060;EC00063;EC00017;EC000446;EC000435;EC000100;EC000101;EC000483;EC0001387;EC000322;EC000323;EC000114;EC000607;EC000608;EC000831;EC000766;EC0001069;EC0001389;EC0001391"
"Drug metabolism - cytochrome P450","43","30","17","14.779","0.7403","0.83165","0.21086","32","0.32","1","1","1","P49","EC000929;EC000930;EC0001181;EC0001301;EC0001303;EC0001171;EC0001332;EC0001287;EC0001182;EC0001310;EC0001312;EC0001035;EC0001333"
"Lipoic acid metabolism","17","9","3","4.9265","0.76245","0.90366","0.22669","99","0.99","1","1","1","P50","EC00064;EC000302;EC000303;EC000161"
"Biotin metabolism","4","3","2","2.6081","0.77864","0.95178","0.23934","0","0","1","1","1","P51","EC0001093;EC00035"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","2","4.0571","0.81135","0.94102","0.26823","100","1","1","1","1","P52","EC00078;EC00079;EC00082"
"Phenylalanine metabolism","8","8","4","6.6652","0.83247","0.92947","0.28976","100","1","1","1","1","P53","EC00078;EC00079;EC000955;EC000877;EC00082"
"Ascorbate and aldarate metabolism","8","8","3","4.3469","0.8488","0.95542","0.30831","100","1","1","1","1","P54","EC00024;EC000800;EC000212"
"Propanoate metabolism","19","10","5","5.7959","0.86791","0.95356","0.33262","100","1","1","1","1","P55","EC000114;EC00032;EC000638;EC00064"
"Tryptophan metabolism","41","35","14","24.343","0.87065","0.91552","0.33637","100","1","1","1","1","P56","EC00077;EC000538;EC000539;EC0001035;EC000507;EC000508;EC000302;EC000303;EC000885;EC000887;EC000897;EC000310;EC000311;EC0001051;EC0001044;EC0001045;EC000111;EC000683;EC0001133;EC0001134"
"Glycerophospholipid metabolism","13","9","5","8.9836","0.91652","0.96614","0.41266","100","1","1","1","1","P57","EC000122;EC000664;EC000334;EC000335;EC00096;EC000519"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","2","3.7673","0.92305","0.98756","0.4263","100","1","1","1","1","P58","EC000185;EC00082"
"Fatty acid biosynthesis","9","7","2","5.2163","0.92499","0.98113","0.43055","100","1","1","1","1","P59","EC0001138;EC000802;EC000804"
"Sulfur metabolism","8","5","1","2.3183","0.93293","1","0.44885","99","0.99","1","1","1","P60","EC000232"
"Nicotinate and nicotinamide metabolism","15","14","5","8.6938","0.95866","0.9864","0.52324","100","1","1","1","1","P61","EC00037;EC00039;EC0001080;EC000180;EC0001082"
"Riboflavin metabolism","4","4","1","2.8979","0.96596","1","0.55079","0","0","1","1","1","P62","EC000260"
"Metabolism of xenobiotics by cytochrome P450","68","41","15","17.967","0.96729","0.98413","0.55627","97","0.97","1","1","1","P63","EC0001227;EC0001128;EC0001131;EC0001232;EC0001242;EC0001239;EC000825;EC000683;EC0001365;EC0001204;EC0001362;EC0001359"
"Drug metabolism - other enzymes","28","17","5","9.5632","0.97876","0.99362","0.61199","53","0.53","1","1","1","P64","EC0001324;EC0001205;EC0001402;EC0001178;EC0001321"
"Fatty acid degradation","35","13","1","4.3469","0.99379","1","0.73725","0","0","1","1","1","P65","EC000820"
"Tyrosine metabolism","42","42","15","27.53","0.99967","0.99988","0.89756","100","1","1","1","1","P66","EC000546;EC000296;EC0001031;EC0001014;EC0001015;EC0001024;EC000343;EC000630;EC00082;EC000619;EC000877;EC000185;EC000114;EC000491"
