"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Valine, leucine and isoleucine degradation","35","14","8","7.8116","0.68329","0.81827",NA,"100","1","1","1",NA,"P34","EC000113;EC000117;EC000235;EC000236;EC00064;EC000203;EC000636"
"Valine, leucine and isoleucine biosynthesis","8","8","4","5.6146","0.68348","0.84057",NA,"100","1","1","1",NA,"P35","EC000235;EC000236;EC000113;EC000117;EC000203"
"Glutathione metabolism","19","13","5","6.8351","0.70092","0.84002",NA,"100","1","1","1",NA,"P36","EC00042;EC000145;EC000517;EC000101;EC000741;EC000742"
"Folate biosynthesis","26","22","6","6.8351","0.70092","0.84002",NA,"0","0","1","1",NA,"P37","EC000928;EC000165;EC0001098;EC0001256;EC000828;EC0001378"
"Alanine, aspartate and glutamate metabolism","28","27","10","16.6","0.70157","0.79264",NA,"100","1","1","1",NA,"P38","EC000621;EC000622;EC000625;EC00037;EC00039;EC000177;EC000837;EC000838;EC000839;EC000113;EC000117;EC00057;EC0001216;EC000402;EC000338"
"Drug metabolism - other enzymes","28","17","6","8.0557","0.71655","0.84158",NA,"0","0","1","1",NA,"P39","EC0001320;EC0001205;EC0001403;EC0001327;EC0001178;EC0001180;EC000259"
"Butanoate metabolism","15","9","5","5.8587","0.72193","0.86484",NA,"100","1","1","1",NA,"P40","EC000636;EC000113;EC000117;EC000249;EC000771"
"Glyoxylate and dicarboxylate metabolism","31","15","7","7.0792","0.7351","0.86249",NA,"100","1","1","1",NA,"P41","EC000194;EC000383;EC000643;EC00063;EC000266;EC00057"
"Ascorbate and aldarate metabolism","8","8","3","3.6617","0.73967","0.90787",NA,"100","1","1","1",NA,"P42","EC00024;EC000800;EC000264"
"Taurine and hypotaurine metabolism","8","6","3","3.9058","0.78061","0.92632",NA,"100","1","1","1",NA,"P43","EC000447;EC000101;EC000247"
"Glycerophospholipid metabolism","13","9","5","7.5675","0.79492","0.89954",NA,"100","1","1","1",NA,"P44","EC000294;EC000479;EC000664;EC00095;EC00096;EC000519"
"Tyrosine metabolism","42","42","15","23.191","0.79787","0.85906",NA,"100","1","1","1",NA,"P45","EC0001018;EC000296;EC0001007;EC000504;EC000505;EC0001014;EC0001015;EC0001024;EC000343;EC00081;EC00082;EC000877;EC000879;EC000430;EC000431;EC000185;EC000186;EC000113;EC000117;EC000491"
"Cysteine and methionine metabolism","33","30","12","17.82","0.80526","0.87319",NA,"100","1","1","1",NA,"P46","EC000662;EC000663;EC000184;EC00063;EC00065;EC00017;EC000447;EC000434;EC000436;EC000101;EC0001387;EC000113;EC000117;EC000831;EC000766"
"Phosphonate and phosphinate metabolism","4","2","1","1.4647","0.80922","1",NA,"100","1","1","1",NA,"P47","EC0001148"
"Nitrogen metabolism","6","3","1","1.4647","0.80922","1",NA,"100","1","1","1",NA,"P48","EC00057"
"Drug metabolism - cytochrome P450","43","30","10","12.45","0.82246","0.89802",NA,"34","0.34","1","1",NA,"P49","EC0001297;EC0001287;EC0001288;EC0001284;EC0001182;EC0001312;EC0001292;EC0001036;EC000703;EC0001333"
"One carbon pool by folate","26","22","8","11.473","0.83589","0.91009",NA,"0","0","1","1",NA,"P50","EC000411;EC000184;EC00065;EC00017;EC000203;EC00063;EC000220;EC000223;EC000101"
"Pyruvate metabolism","20","12","3","4.394","0.84661","0.95328",NA,"100","1","1","1",NA,"P51","EC0001116;EC00064;EC000234"
"Pentose and glucuronate interconversions","18","18","4","6.591","0.92077","0.97418",NA,"100","1","1","1",NA,"P52","EC000264;EC000127;EC000129;EC000771"
"Pyrimidine metabolism","39","37","13","20.017","0.92219","0.95469",NA,"100","1","1","1",NA,"P53","EC00057;EC000396;EC000177;EC000124;EC00047;EC000427;EC000428;EC000570;EC000353;EC000198;EC0001393;EC0001394;EC000402;EC000107;EC000108"
"Starch and sucrose metabolism","12","12","7","3.9058","0.92718","0.98798",NA,"93","0.93","1","1",NA,"P54","EC00091;EC00024"
