"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Fatty acid oxidation, peroxisome","28","6","1","2.4138","0.92706","1","0.20514","100","1","1","1","1","P92","EC00047"
"Pyruvate Metabolism","20","10","3","4.2241","0.93443","0.98975","0.2166","100","1","1","1","1","P93","EC00042;EC000142"
"O-Glycan biosynthesis","16","6","1","2.7155","0.94746","1","0.2404","0","0","1","1","1","P94","EC00061"
"Proteoglycan biosynthesis","27","9","1","2.7155","0.94746","1","0.2404","0","0","1","1","1","P95","EC00059"
"Vitamin B2 (riboflavin) metabolism","8","5","2","4.8275","0.96192","0.99469","0.27462","0","0","1","1","1","P96","EC00028;EC000297"
"Saturated fatty acids beta-oxidation","36","13","2","4.8275","0.96192","0.99469","0.27462","0","0","1","1","1","P97","EC0001062;EC000344"
"Alkaloid biosynthesis II","10","6","2","5.431","0.97816","0.99725","0.33182","100","1","1","1","1","P98","EC00028;EC0001594"
"Xenobiotics metabolism","110","55","14","21.724","0.98198","0.99149","0.3509","100","1","1","1","1","P99","EC00059;EC0009;EC0001631;EC0001494;EC0001580;EC0001625;EC0001030;EC0001032;EC0001639;EC0001640;EC0001483;EC0001484;EC000845"
"Methionine and cysteine metabolism","94","48","16","28.965","0.98705","0.99331","0.38265","100","1","1","1","1","P100","EC00034;EC00035;EC00032;EC00028;EC000410;EC000135;EC000265;EC000121;EC000122;EC0001391;EC000508;EC000970;EC00076;EC00079;EC000521;EC00059;EC000256;EC000581"
"Tyrosine metabolism","160","113","43","65.171","0.9919","0.99473","0.42552","100","1","1","1","1","P101","EC00032;EC00028;EC0001768;EC000659;EC00034;EC00035;EC0001651;EC000444;EC000759;EC0001004;EC0001151;EC0001152;EC000341;EC0001544;EC0001545;EC0001546;EC0001547;EC0002028;EC0001052;EC000121;EC000122;EC00096;EC00097;EC00082;EC0001135;EC000100;EC000994;EC0001875;EC00073;EC00074;EC000771;EC0001339;EC000389;EC000308;EC0001550;EC0001551;EC0001553;EC000970;EC0001329;EC0001330;EC00059;EC0001872;EC0001346;EC000135;EC0001817;EC0001819"
"Tryptophan metabolism","94","66","23","44.655","0.99371","0.99641","0.44748","100","1","1","1","1","P102","EC00034;EC00035;EC00032;EC00028;EC000356;EC000357;EC000651;EC000652;EC0001365;EC0001651;EC000612;EC000613;EC00095;EC0001151;EC0001152;EC000845;EC000132;EC0001768;EC0001486;EC0001487;EC0001889;EC000308;EC000348;EC000349;EC0001167;EC00039;EC0001143;EC0001145;EC0001351"
