"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Starch and sucrose metabolism","12","12","12","11.752","0.31745","0.53534","0.05913","0","0","1","1","1","P33","EC00090;EC00091;EC00092;EC00093;EC00023;EC00024;EC00025;EC00022;EC00086;EC00087;EC00088;EC000341;EC000342"
"Retinol metabolism","16","16","15","11.752","0.31745","0.53534","0.05913","0","0","1","1","1","P34","EC000425;EC000426;EC000359;EC000360;EC000757;EC000535;EC000536;EC000537;EC0001254;EC0001255;EC0001334;EC0001335;EC0001191"
"Biosynthesis of unsaturated fatty acids","36","22","19","25.707","0.34013","0.48632","0.062701","0","0","1","1","1","P35","EC000182;EC000449;EC000750;EC000770;EC000251;EC000252;EC000705;EC000707;EC0001140;EC000529;EC000530;EC000718;EC000719;EC000720;EC000721;EC000228;EC000229;EC000230;EC000832;EC000833;EC0001141;EC0001142;EC0001146;EC0001147;EC0001143;EC0001144;EC000949"
"Pantothenate and CoA biosynthesis","18","15","14","30.848","0.36282","0.49678","0.066517","0","0","1","1","1","P36","EC000645;EC000560;EC000561;EC000568;EC000569;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000203;EC000204;EC00037;EC00039;EC0007;EC000848;EC000851;EC000852;EC000853;EC000100;EC000101;EC000102;EC00028;EC00029;EC000107;EC000108;EC000110;EC000158;EC000160;EC0006"
"Drug metabolism - cytochrome P450","43","30","29","37.458","0.43991","0.56199","0.081604","28","0.28","1","1","1","P37","EC000929;EC000930;EC0001181;EC0001313;EC0001314;EC0001315;EC0001294;EC0001297;EC0001301;EC0001302;EC0001304;EC0001170;EC0001171;EC0001332;EC0001281;EC0001282;EC0001287;EC0001288;EC0001284;EC0001285;EC0001286;EC0001182;EC0001183;EC0001310;EC0001311;EC0001312;EC0001291;EC0001292;EC0001293;EC0001035;EC0001036;EC0001305;EC0001306;EC000703;EC000704;EC0001309;EC0001330;EC0001333"
"Riboflavin metabolism","4","4","4","7.3448","0.45058","0.71261","0.083988","0","0","1","1","1","P38","EC000260;EC000261;EC000262;EC00050;EC00051;EC00052;EC0009;EC000611"
"One carbon pool by folate","26","22","16","34.52","0.45094","0.57795","0.08407","0","0","1","1","1","P39","EC000381;EC000411;EC000412;EC000161;EC000162;EC000410;EC000183;EC00065;EC00067;EC00011;EC00017;EC000203;EC000204;EC000322;EC000323;EC000324;EC000325;EC00028;EC00029;EC00060;EC00061;EC00062;EC00063;EC000774;EC000775;EC000776;EC000354;EC000219;EC000220;EC000221;EC000222;EC000223;EC000100;EC000101;EC000102"
"Terpenoid backbone biosynthesis","14","7","6","12.486","0.47715","0.68135","0.090281","63","0.63","1","1","1","P40","EC000385;EC000386;EC000387;EC000388;EC000648;EC000649;EC000640;EC000328;EC000329;EC0001375;EC000844;EC000846;EC000847"
"Glycolysis or Gluconeogenesis","23","19","18","19.831","0.52405","0.68397","0.10279","100","1","1","1","1","P41","EC00064;EC00018;EC000206;EC00068;EC00070;EC000213;EC000215;EC000121;EC000122;EC000341;EC000342;EC00086;EC00087;EC00088;EC00023;EC00024;EC00025;EC00027;EC000240;EC000241"
"Citrate cycle (TCA cycle)","16","14","12","16.158","0.59711","0.75914","0.12667","100","1","1","1","1","P42","EC00021;EC00064;EC00030;EC00032;EC000962;EC000963;EC000188;EC00027;EC000173;EC000174;EC000383;EC00018;EC000139;EC000140;EC00068;EC00070"
"Ascorbate and aldarate metabolism","8","8","7","11.017","0.60077","0.78959","0.12804","100","1","1","1","1","P43","EC00023;EC00024;EC00025;EC00022;EC000216;EC000218;EC000800;EC000264;EC000265;EC000212;EC000552"
"Fatty acid elongation","28","9","6","7.3448","0.7144","0.88849","0.18137","0","0","1","1","1","P44","EC000182;EC000949;EC000798;EC000948;EC000947;EC000251;EC000252"
"alpha-Linolenic acid metabolism","12","5","3","7.3448","0.7144","0.88849","0.18137","0","0","1","1","1","P45","EC0001272;EC0001141;EC0001142;EC0001265;EC0001267;EC0001268;EC0001269"
"Phenylalanine metabolism","8","8","8","16.893","0.71637","0.84433","0.18253","100","1","1","1","1","P46","EC000480;EC000481;EC000482;EC00078;EC00079;EC00080;EC000954;EC000955;EC000957;EC000189;EC000190;EC000877;EC000878;EC000504;EC00081;EC00082"
"Vitamin B6 metabolism","9","9","9","13.955","0.75062","0.87625","0.20435","100","1","1","1","1","P47","EC0001122;EC000489;EC000511;EC000296;EC000297;EC00010;EC000253;EC000255;EC000256;EC000456;EC000457;EC0001119;EC000565"
"Inositol phosphate metabolism","21","19","19","18.362","0.77184","0.87791","0.2197","100","1","1","1","1","P48","EC000676;EC000688;EC000341;EC000342;EC00086;EC00087;EC00088;EC00023;EC00024;EC00025;EC000691;EC000692;EC000693;EC00018;EC000121;EC000122;EC000212"
