"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Thiamine metabolism","5","3","3","3.6974","0.20617","0.58825","0.044416","100","1","1","1","1","P22","EC000100;EC000101;EC000102;EC000826;EC00064"
"Glycerophospholipid metabolism","13","9","9","22.924","0.22469","0.36611","0.046526","100","1","1","1","1","P23","EC000121;EC000122;EC000294;EC000295;EC000476;EC000478;EC000479;EC000664;EC000665;EC000333;EC000334;EC000335;EC000337;EC00095;EC00096;EC000520;EC000521;EC000522;EC000469;EC000470;EC000471;EC000472;EC000670;EC000671;EC000672"
"One carbon pool by folate","26","22","21","34.755","0.23382","0.34679","0.047605","0","0","1","1","1","P24","EC000381;EC000411;EC000161;EC000162;EC000239;EC000410;EC000513;EC000183;EC0001;EC00065;EC00067;EC00011;EC00017;EC000203;EC000204;EC000322;EC000323;EC000324;EC000325;EC00028;EC00029;EC000473;EC00060;EC00061;EC00062;EC00063;EC000774;EC000775;EC000776;EC000354;EC000219;EC000220;EC000221;EC000223;EC000100;EC000101;EC000102"
"Drug metabolism - cytochrome P450","43","30","28","37.713","0.23436","0.34227","0.047671","0","0","1","1","1","P25","EC000929;EC000930;EC0001181;EC0001314;EC0001315;EC0001294;EC0001296;EC0001297;EC0001301;EC0001302;EC0001304;EC0001170;EC0001171;EC0001332;EC0001281;EC0001282;EC0001287;EC0001288;EC0001284;EC0001285;EC0001286;EC0001182;EC0001183;EC0001184;EC0001185;EC0001310;EC0001311;EC0001312;EC0001291;EC0001292;EC0001293;EC0001035;EC0001036;EC0001305;EC0001306;EC000703;EC000704;EC0001309;EC0001330;EC0001333"
"Pyruvate metabolism","20","12","11","13.31","0.23928","0.43555","0.048265","100","1","1","1","1","P26","EC00027;EC00068;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000234;EC000139;EC000140"
"Steroid biosynthesis","40","33","28","19.226","0.2538","0.41604","0.050067","0","0","1","1","1","P27","EC000654;EC000936;EC000709;EC000710;EC000711;EC000712;EC000713;EC000207;EC000931;EC000933;EC000934;EC000935;EC0001207;EC0001208;EC000725;EC000726;EC000842;EC0001409;EC000937;EC0001343;EC0001345"
"Fructose and mannose metabolism","20","19","19","22.184","0.25738","0.40776","0.050524","100","1","1","1","1","P28","EC000549;EC000551;EC00023;EC00024;EC000341;EC000342;EC00085;EC00086;EC00087;EC00088;EC000817;EC000818;EC000819;EC00098;EC00099;EC000121;EC000122;EC000206;EC000612;EC000613;EC000614;EC000306;EC000889;EC000890"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4","3","3","5.9158","0.31758","0.6254","0.058925","100","1","1","1","1","P29","EC000182;EC000251;EC000252;EC000333;EC000334;EC000335;EC000337"
"Sulfur metabolism","8","5","4","5.9158","0.31758","0.6254","0.058925","0","0","1","1","1","P30","EC00048;EC000231;EC000232;EC000301;EC0001340;EC0001341;EC0001342"
"Valine, leucine and isoleucine degradation","35","14","14","23.663","0.33017","0.4837","0.060872","100","1","1","1","1","P31","EC000113;EC000114;EC000115;EC000116;EC000118;EC000235;EC000236;EC000237;EC00064;EC000203;EC000204;EC000158;EC000160;EC000141;EC000142;EC000143;EC000144;EC000322;EC000323;EC000324;EC000325;EC000636;EC000637;EC00030;EC00032"
"Retinol metabolism","16","16","15","11.832","0.33343","0.55336","0.061388","0","0","1","1","1","P32","EC000425;EC000426;EC000359;EC000360;EC000757;EC000535;EC000536;EC000537;EC0001254;EC0001255;EC0001334;EC0001335;EC0001191"
"Biosynthesis of unsaturated fatty acids","36","22","19","25.882","0.36464","0.51294","0.066588","0","0","1","1","1","P33","EC000182;EC000449;EC000750;EC000770;EC000251;EC000252;EC000705;EC000707;EC0001140;EC000529;EC000530;EC000718;EC000719;EC000720;EC000721;EC000228;EC000229;EC000230;EC000832;EC000833;EC0001141;EC0001142;EC0001146;EC0001147;EC0001143;EC0001144;EC000949"
"Galactose metabolism","27","26","26","22.924","0.36946","0.5275","0.067434","0","0","1","1","1","P34","EC000724;EC00085;EC00086;EC00087;EC00088;EC000438;EC000439;EC000441;EC00090;EC00091;EC00092;EC00023;EC00024;EC000971;EC000972;EC000973;EC000974;EC000968;EC000970;EC00022;EC000341;EC000342;EC000549;EC000551"
"Valine, leucine and isoleucine biosynthesis","8","8","8","17.008","0.37935","0.56335","0.06921","100","1","1","1","1","P35","EC000208;EC000209;EC000235;EC000236;EC000237;EC000141;EC000142;EC000143;EC000144;EC000158;EC000160;EC000113;EC000114;EC000115;EC000116;EC000118;EC000203;EC000204"
"Lysine degradation","21","14","12","28.1","0.39686","0.5397","0.072484","100","1","1","1","1","P36","EC00035;EC00036;EC000413;EC000414;EC000415;EC000416;EC000417;EC000418;EC000814;EC000815;EC000816;EC000599;EC000600;EC000601;EC00064;EC000304;EC000305;EC0001336;EC0001337;EC0001338;EC000376;EC000377;EC000378;EC000882;EC000883;EC000664;EC000665;EC000421;EC000684"
"alpha-Linolenic acid metabolism","12","5","3","7.3947","0.46482","0.7251","0.086994","0","0","1","1","1","P37","EC0001272;EC0001141;EC0001142;EC0001265;EC0001266;EC0001267;EC0001268;EC0001269"
"Riboflavin metabolism","4","4","4","7.3947","0.46482","0.7251","0.086994","0","0","1","1","1","P38","EC000260;EC000261;EC000262;EC00050;EC00051;EC00052;EC0009;EC000611"
"Phosphonate and phosphinate metabolism","4","2","2","4.4368","0.48591","0.79617","0.092164","0","0","1","1","1","P39","EC0001148;EC0001149;EC0001150;EC0001061;EC0001062"
"Terpenoid backbone biosynthesis","14","7","6","12.571","0.49571","0.69811","0.094688","84","0.84","1","1","1","P40","EC000385;EC000386;EC000387;EC000648;EC000649;EC000640;EC000641;EC000328;EC000329;EC0001375;EC000844;EC000846;EC000847"
