"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Methionine and cysteine metabolism","94","48","30","50.026","0.31489","0.38864","0.017629","100","1","1","1","1","P29","EC00034;EC00035;EC00036;EC00032;EC00028;EC00033;EC000411;EC000809;EC00026;EC000207;EC0006;EC000134;EC000136;EC000137;EC000138;EC000139;EC000264;EC000265;EC000121;EC000122;EC000123;EC000543;EC000544;EC000545;EC0001391;EC000507;EC000508;EC000509;EC000280;EC000281;EC00076;EC00077;EC000521;EC000166;EC000347;EC0001925;EC000530;EC000531;EC0001035;EC0001036;EC000253;EC000254;EC000256;EC000581;EC000582;EC0001413;EC0001414;EC0001415;EC0001310"
"Dynorphin metabolism","8","3","3","4.1688","0.32273","0.59406","0.018074","0","0","1","1","1","P30","EC0001855;EC0001857;EC0001901;EC0001902;EC0001884"
"De novo fatty acid biosynthesis","106","30","20","29.182","0.33675","0.43719","0.018901","0","0","1","1","1","P31","EC00028;EC0001115;EC000876;EC000878;EC000635;EC000636;EC0001020;EC000975;EC0001496;EC0001497;EC0001494;EC0001419;EC000288;EC000289;EC0001499;EC0001500;EC000952;EC000953;EC0001030;EC0001032;EC0001078;EC0001079;EC000261;EC000262;EC000263;EC000890;EC000891;EC000892;EC000893"
"Saturated fatty acids beta-oxidation","36","13","6","8.3377","0.34357","0.53692","0.019318","0","0","1","1","1","P32","EC0001062;EC0001063;EC0001064;EC000344;EC0001020;EC00024;EC0001249;EC000288;EC000289"
"Starch and Sucrose Metabolism","33","21","18","16.675","0.34701","0.48266","0.019533","0","0","1","1","1","P33","EC000511;EC000512;EC000514;EC000127;EC000104;EC000105;EC000106;EC000107;EC00037;EC0001859;EC0001860;EC000109;EC000902;EC000645;EC00023;EC00038;EC00039"
"N-Glycan biosynthesis","48","18","11","15.633","0.34743","0.48773","0.01956","0","0","1","1","1","P34","EC000127;EC000144;EC000145;EC0001178;EC00061;EC00062;EC00063;EC00037;EC000119;EC00038;EC00039;EC00023;EC000104;EC000105;EC000106;EC000107"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","23","22","27.619","0.39044","0.49708","0.022481","100","1","1","1","1","P35","EC00034;EC00035;EC00032;EC00028;EC00069;EC00073;EC0001127;EC0004;EC0005;EC000294;EC000296;EC0001074;EC000812;EC0001407;EC0001409;EC0001411;EC00026;EC000203;EC000204;EC000205;EC000153;EC000687;EC000148;EC000150;EC000335;EC00052;EC0001082"
"Vitamin B1 (thiamin) metabolism","20","11","8","9.901","0.43386","0.61356","0.025936","55","0.55","1","1","1","P36","EC0001474;EC00028;EC00080;EC000350;EC00033;EC0001066;EC00036;EC000791;EC000792;EC000793"
"Sialic acid metabolism","107","32","26","31.266","0.43429","0.53537","0.025974","0","0","1","1","1","P37","EC0001448;EC0001449;EC0001450;EC000176;EC000178;EC0001270;EC0001272;EC0001274;EC0001275;EC00039;EC00038;EC0001470;EC000394;EC000395;EC00086;EC000104;EC000105;EC000106;EC000107;EC0001033;EC000109;EC000909;EC00076;EC00077;EC000247;EC0001265;EC00061;EC00062;EC00063;EC0001223"
"Glycosphingolipid biosynthesis - globoseries","16","9","5","8.8588","0.43734","0.62686","0.026238","0","0","1","1","1","P38","EC00023;EC00061;EC00062;EC00063;EC00037;EC00038;EC00039;EC000178;EC000176"
